Material,Yarn Denier,Material description,Material type,Fabric Construction Code,Fabric Processing Code,Cord Density Code,Fill Cord,Linear Fill Cord Weight,Picks per Meter,Woven Fabric Width,Calculated Ends per Inch,Linear Fill Cord Weight DEN,Fabric Squarewoven Construction Code,Wire Construction Code,Cable Construction Code,Source,Cable Bead Coating,Gauge,Bead Inside Diameter,Component Weight,Fabric Processing Code.1
RFNC21DH,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 21,00 E",FABR,NC,DH,21,NON,221,59,62.0,21.0,221,,,,Fabrics all Fields,,,,,
RFNC21JA,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 21.00 E",FABR,NC,JA,21,NON,221,59,62.0,21.0,221,,,,Fabrics all Fields,,,,,
RFNC21JH,840,840/2 0.022 21 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,21.0,0,,,,Fabrics all Fields,,,,,
RFNC21JR,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 21,00 E",FABR,NC,JR,21,NON,221,59,62.0,21.0,221,,,,Fabrics all Fields,,,,,
RFNC21KA,840,840/2 0.022 21 EPI NYLON 66 FABRIC D5A,FABR,,,,,0,0,61.0,21.0,0,,,,Fabrics all Fields,,,,,
RFNC21QA,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 21,00 E",FABR,NC,QA,21,NON,221,59,62.0,21.0,221,,,,Fabrics all Fields,,,,,
RFNC21QAC,840,840/2 0.022 21 EPI NYLON 66 FABRIC -55IN,FABR,,,,,0,0,60.0,21.0,0,,,,Fabrics all Fields,,,,,
RFNC21QH,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 21.00 E",FABR,NC,QH,21,NON,221,59,62.0,21.0,221,,,,Fabrics all Fields,,,,,
RFNC21UA,840,840/2 0.022 21 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,21.0,0,,,,Fabrics all Fields,,,,,
RFNC21ZM,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 21.00 E",FABR,NC,ZM,21,NON,221,59,0.0,21.0,221,,,,Fabrics all Fields,,,,,
RFNC21ZO,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 21,00 E",FABR,NC,ZO,21,NON,221,59,0.0,21.0,221,,,,Fabrics all Fields,,,,,
RFNC22JA,840,840/2 0.022 22 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,22.0,0,,,,Fabrics all Fields,,,,,
RFNC22JR,840,840/2 0.022 22 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,22.0,0,,,,Fabrics all Fields,,,,,
RFNC22QA,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 22,00 E",FABR,NC,QA,22,NON,221,59,62.0,22.0,221,,,,Fabrics all Fields,,,,,
RFNC22TS,840,840/2 0.022 22 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,22.0,0,,,,Fabrics all Fields,,,,,
RFNC22UA,840,840/2 0.022 22 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,22.0,0,,,,Fabrics all Fields,,,,,
RFNC24FA,840,840/2 0.022 24 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,24.0,0,,,,Fabrics all Fields,,,,,
RFNC24JH,840,840/2 0.022 24 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,24.0,0,,,,Fabrics all Fields,,,,,
RFNC27,840,840/2 0.022 27 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,0.0,0,,,,Fabrics all Fields,,,,,
RFNC27GA,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 27.00 E",FABR,NC,GA,27,NON,221,59,1490.0,27.0,221,,,,Fabrics all Fields,,,,,
RFNC27JA,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 27.00 E",FABR,NC,JA,27,NON,221,59,62.0,27.0,221,,,,Fabrics all Fields,,,,,
RFNC27JR,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 27,00 E",FABR,NC,JR,27,NON,221,59,62.0,27.0,221,,,,Fabrics all Fields,,,,,
RFNC27QA,840,840/2 0.022 27 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,27.0,0,,,,Fabrics all Fields,,,,,
RFNC27ZO,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 27,00 E",FABR,NC,ZO,27,NON,221,59,0.0,27.0,221,,,,Fabrics all Fields,,,,,
RFNC28MA,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 28.00 E",FABR,NC,MA,28,NON,221,65,62.0,28.0,221,,,,Fabrics all Fields,,,,,
RFNC28ME,840,UTICA 840/2 12X12 28EPI NYLON66 D5A,FABR,,,,,0,0,61.5,28.0,0,,,,Fabrics all Fields,,,,,
RFNC30GA,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 30.00 E",FABR,NC,GA,30,NON,221,59,1448.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNC30JA,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 30,00 E",FABR,NC,JA,30,NON,221,59,1422.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNC30QA,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 30,00 E",FABR,NC,QA,30,NON,221,59,1400.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNC30SJ,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 30.00 E",FABR,NC,SJ,30,NON,221,100,0.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNC30SV,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 30.00 E",FABR,NC,SV,30,NON,221,59,0.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNC30ZM,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 30,00 E",FABR,NC,ZM,30,NON,0,0,0.0,30.0,0,,,,Fabrics all Fields,,,,,
RFNC30ZO,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 30,00 E",FABR,NC,ZO,30,NON,0,59,0.0,30.0,0,,,,Fabrics all Fields,,,,,
RFNC3220,840,840/1/2 NYLON 66 32EPI,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC3230,840,840/2 0.022 32EPI N66 57INCH FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC3249,840,840/2 0.022 32 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC3252,840,840/2 0.022 32 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC3253,840,840/2 0.022 32 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC3287,840,840/2 0.022 32EPI N66 SINGLE DIP,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC32JA,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 32.00 E",FABR,NC,JA,32,NON,221,59,62.0,32.0,221,,,,Fabrics all Fields,,,,,
RFNC32JAG,840,840/2 0.022 32 EPI NYLON 66 FABRIC,FABR,,,,,0,0,58.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC32JR,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 32,00 E",FABR,NC,JR,32,NON,221,59,62.0,32.0,221,,,,Fabrics all Fields,,,,,
RFNC32KR,840,"840/1/2 NYLON 6,6 26 EPI UTICA D5A",FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC32PA,840,840/2 0.022 32 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC32QA,840,840/2 0.022 32 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC32QR,840,840/2 0.022 32 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,32.0,0,,,,Fabrics all Fields,,,,,
RFNC32ZO,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 32.00 E",FABR,NC,ZO,32,NON,221,59,0.0,32.0,221,,,,Fabrics all Fields,,,,,
RFNC33GA,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 33.00 E",FABR,NC,GA,33,NON,221,59,0.0,33.0,221,,,,Fabrics all Fields,,,,,
RFNC33JA,840,840/2 0.022 33 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFNC33JR,840,840/2 0.022 33 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFNC33PA,840,840/2 0.022 33 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFNC33UA,840,840/2 0.022 33 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,33.0,0,,,,Fabrics all Fields,,,,,
RFNC33ZO,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 33,00 E",FABR,NC,ZO,33,NON,0,59,0.0,33.0,0,,,,Fabrics all Fields,,,,,
RFNC3541,840,"840/1/2 NYLON 6,6 35 EPI 18% 4100C",FABR,,,,,0,0,62.0,35.0,0,,,,Fabrics all Fields,,,,,
RFNC35DH,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 35.00 E",FABR,NC,DH,35,NON,221,59,62.0,35.0,221,,,,Fabrics all Fields,,,,,
RFNC35JH,840,840/2 0.022 35 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,35.0,0,,,,Fabrics all Fields,,,,,
RFNCD4SU,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 24.40 E",FABR,NC,SU,D4,NON,221,59,0.0,24.4,221,,,,Fabrics all Fields,,,,,
RFNCG5SS,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 28.50 E",FABR,NC,SS,G5,EXT,221,59,0.0,28.5,221,,,,Fabrics all Fields,,,,,
RFNCG5ST,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 28.50 E",FABR,NC,ST,G5,EXT,221,59,0.0,28.5,221,,,,Fabrics all Fields,,,,,
RFNCG5SU,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 28.50 E",FABR,NC,SU,G5,NON,221,59,0.0,28.5,221,,,,Fabrics all Fields,,,,,
RFNCG5SV,840,"NYLON, N6.6, 940/1/2, 12.0/12.0, 28.50 E",FABR,NC,SV,G5,EXT,221,59,0.0,28.5,221,,,,Fabrics all Fields,,,,,
RFNCP5SJ,840,840/2 0.022 14.5 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,14.6,0,,,,Fabrics all Fields,,,,,
RFNCR2SV,840,"NYLON, N6.6, 940/1/2, 12,0/12,0, 15,20 E",FABR,NC,SV,R2,NON,221,59,0.0,15.2,221,,,,Fabrics all Fields,,,,,
RFND22JH,840,840/2 0.022 22 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,22.0,0,,,,Fabrics all Fields,,,,,
RFND22QH,840,840/2 0.022 22 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,22.0,0,,,,Fabrics all Fields,,,,,
RFND24JH,840,840/2 0.022 24 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,24.0,0,,,,Fabrics all Fields,,,,,
RFND24QH,840,840/2 0.022 24 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,24.0,0,,,,Fabrics all Fields,,,,,
RFND35DH,840,840/3 0.022 35 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,35.0,0,,,,Fabrics all Fields,,,,,
RFND35JH,840,840/2 0.022 35 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,35.0,0,,,,Fabrics all Fields,,,,,
RFNF18DH,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 18,00",FABR,NF,DH,18,NON,221,59,62.0,18.0,221,,,,Fabrics all Fields,,,,,
RFNF18GA,1260,1260/2 0.026 18 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFNF18JA,1260,1260/2 0.026 18 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFNF18JH,1260,1260/2 0.026 18 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFNF18KA,1260,1260/2 0.026 18 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFNF18QA,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 18,00",FABR,NF,QA,18,NON,221,59,62.0,18.0,221,,,,Fabrics all Fields,,,,,
RFNF18UA,1260,1260/2 0.026 18 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,18.0,0,,,,Fabrics all Fields,,,,,
RFNF20MS,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 20,00",FABR,NF,MS,20,NON,221,79,62.0,20.0,221,,,,Fabrics all Fields,,,,,
RFNF21SJ,1260,1260/2 0.026 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,22.9,0,,,,Fabrics all Fields,,,,,
RFNF23,1260,1260/2 0.026 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,0.0,0,,,,Fabrics all Fields,,,,,
RFNF2329,1260,1260/2 0.026 23EPI N66 59INCH FABRIC,FABR,,,,,0,0,64.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNF2333,1260,1260/2 0.026 23 EPI N66 D5A STR/DIP,FABR,,,,,0,0,64.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNF2335,1260,1260/2 0.026 23EPI N66 D5A STR/DIP,FABR,,,,,0,0,64.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNF23DH,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 23,00",FABR,NF,DH,23,NON,221,59,62.0,23.0,221,,,,Fabrics all Fields,,,,,
RFNF23GA,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 23,00",FABR,NF,GA,23,NON,221,59,62.0,23.0,221,,,,Fabrics all Fields,,,,,
RFNF23JA,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 23,00",FABR,NF,JA,23,NON,221,59,62.0,23.0,221,,,,Fabrics all Fields,,,,,
RFNF23JH,1260,1260/2 0.026 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNF23MA,1260,1260/2 0.026 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,64.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNF23QA,1260,1260/2 0.026 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNF23TS,1260,1260/2 0.66 23 EPI NYLON 66,FABR,,,,,0,0,1499.0,0.0,0,,,,Fabrics all Fields,,,,,
RFNF24TA,1260,1260/2 0.026 24 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,24.0,0,,,,Fabrics all Fields,,,,,
RFNF25FA,1260,1260/2 0.026 25 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,25.5,0,,,,Fabrics all Fields,,,,,
RFNF26,1260,1260/2 0.026 26 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,0.0,0,,,,Fabrics all Fields,,,,,
RFNF2621,1260,1260/1/2 NYLON 66 26EPI,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFNF26DR,1260,1260/1/2 NYLON 66 26EPI,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFNF26GA,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 26,00",FABR,NF,GA,26,NON,221,59,62.0,26.0,221,,,,Fabrics all Fields,,,,,
RFNF26GF,1260,4260/2 0.66 26 EPI NYLON 66,FABR,NF,GF,26,NON,221,59,1450.0,0.0,0,,,,Fabrics all Fields,,,,,
RFNF26JA,1260,1260/2 0.026 26 EPI NYLON 66 FABRIC,FABR,NF,JA,26,NON,221,59,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFNF26JF,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 26,00",FABR,NF,JF,26,EXT,221,59,62.0,26.0,221,,,,Fabrics all Fields,,,,,
RFNF26JR,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 26.00",FABR,NF,JR,26,NON,295,59,62.0,26.0,295,,,,Fabrics all Fields,,,,,
RFNF26KR,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 26.00",FABR,NF,KR,26,NON,221,79,64.0,26.0,221,,,,Fabrics all Fields,,,,,
RFNF26MA,1260,1260/2 0.026 26 EPI NYLON 66 FABRIC,FABR,,,,,0,0,64.0,26.0,0,,,,Fabrics all Fields,,,,,
RFNF26MS,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 26.00",FABR,NF,MS,26,NON,221,79,59.5,26.0,221,,,,Fabrics all Fields,,,,,
RFNF26MSC,1260,UTICA 1260/2 10X10 26EPI NYLON 66 D5A,FABR,,,,,0,0,60.0,26.0,0,,,,Fabrics all Fields,,,,,
RFNF26QA,1260,1260/2 0.026 26 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFNF26QR,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 26.00",FABR,NF,QR,26,NON,221,59,62.0,26.0,221,,,,Fabrics all Fields,,,,,
RFNF26TR,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 26.00",FABR,NF,TR,26,NON,221,59,62.0,26.0,221,,,,Fabrics all Fields,,,,,
RFNF26ZO,1260,"NYLON, N6.6, 1400/1/2, 10,0/10,0, 26,00",FABR,NF,ZO,26,NON,221,59,0.0,26.0,221,,,,Fabrics all Fields,,,,,
RFNF27TA,1260,1260/2 0.026 27 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,27.0,0,,,,Fabrics all Fields,,,,,
RFNF28FA,1260,1260/2 0.026 28 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFNF28JA,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 28.00",FABR,NF,JA,28,NON,221,59,62.0,28.0,221,,,,Fabrics all Fields,,,,,
RFNF28JAA,1260,1260/2 0.026 28 EPI NYLON 66 FABRIC,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFNF28JR,1260,1260/2 0.026 28 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,28.0,0,,,,Fabrics all Fields,,,,,
RFNF28MA,1260,1260/2 0.026 28 EPI NYLON 66 FABRIC,FABR,,,,,0,0,64.0,28.0,0,,,,Fabrics all Fields,,,,,
RFNF28SV,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 28.00",FABR,NF,SV,28,NON,221,59,0.0,28.0,221,,,,Fabrics all Fields,,,,,
RFNF3047,1260,"1260/2 0.026 30 EPI NYLON UTICA 47""WIDE",FABR,,,,,0,0,50.0,30.0,0,,,,Fabrics all Fields,,,,,
RFNF30DH,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 30.00",FABR,NF,DH,30,NON,221,59,62.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNF30DR,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 30.00",FABR,NF,DR,30,NON,221,59,48.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNF30DRS,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 30.00",FABR,NF,DR,30,NON,221,59,46.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNF30JA,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 30.00",FABR,NF,JA,30,NON,221,59,62.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNF30JAA,1260,1260/2 0.026 30 EPI NYLON 66 FABRIC,FABR,,,,,0,0,64.0,30.0,0,,,,Fabrics all Fields,,,,,
RFNF30JH,1260,1260/2 0.026 30 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,30.0,0,,,,Fabrics all Fields,,,,,
RFNF30JR,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 30.00",FABR,NF,JR,30,NON,221,59,62.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNF30MA,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 30.00",FABR,NF,MA,30,NON,221,59,64.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNF30ME,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 30.00",FABR,NF,ME,30,NON,221,59,62.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNF30MR,1260,"NYLON, N6.6, 1400/1/2, 10.0/10.0, 30.00",FABR,NF,MR,30,NON,221,59,48.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNF30MRS,1260,"1260/2 0.026 30 EPI NYLON UTICA 44"" WIDE",FABR,,,,,0,0,46.0,30.0,0,,,,Fabrics all Fields,,,,,
RFNG17SH,1260,"NYLON, N6.6, 1400/1/2, 6,0/6,0, 17,00 EP",FABR,NG,SH,17,EXT,221,70,0.0,17.0,221,,,,Fabrics all Fields,,,,,
RFNG27SH,1260,"NYLON, N6.6, 1400/1/2, 6,0/6,0, 27,00 EP",FABR,NG,SH,27,EXT,221,70,59.0,27.0,221,,,,Fabrics all Fields,,,,,
RFNG30GA,1260,"NYLON, N6.6, 1400/1/2, 6,0/6,0, 30,00 EP",FABR,NG,GA,30,NON,221,50,64.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNG30GAB,1260,1260/2 0.0276 30 EPI NYLON 66 FABRIC,FABR,,,,,0,0,57.0,30.0,0,,,,Fabrics all Fields,,,,,
RFNG30GABC,1260,1260/2 0.0276 30 EPI NYLON 66 FABRIC,FABR,,,,,0,0,55.0,30.0,0,,,,Fabrics all Fields,,,,,
RFNG30JA,1260,"NYLON, N6.6, 1400/1/2, 6,0/6,0, 30,00 EP",FABR,NG,JA,30,EXT,221,59,57.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNG30JR,1260,"NYLON, N6.6, 1400/1/2, 6,0/6,0, 30,00 EP",FABR,NG,JR,30,NON,221,59,62.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNG30SG,1260,"NYLON, N6.6, 1400/1/2, 6,0/6,0, 30,00 EP",FABR,NG,SG,30,NON,328,50,0.0,30.0,295,,,,Fabrics all Fields,,,,,
RFNG30SJ,1260,"NYLON, N6.6, 1400/1/2, 6,0/6,0, 30,00 EP",FABR,NG,SJ,30,NON,221,60,0.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNG30ZO,1260,"NYLON, N6.6, 1400/1/2, 6.0/6.0, 30.00 EP",FABR,NG,ZO,30,NON,221,59,0.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNH19GA,1260,1260/3 0.031 19 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,19.0,0,,,,Fabrics all Fields,,,,,
RFNH19JA,1260,1260/3 0.031 19 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,19.0,0,,,,Fabrics all Fields,,,,,
RFNH19JR,1260,1260/3 0.031 19 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,19.0,0,,,,Fabrics all Fields,,,,,
RFNH20TA,1260,1260/3 0.031 20 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,20.0,0,,,,Fabrics all Fields,,,,,
RFNH23DH,1260,"NYLON, N6.6, 1400/1/3, 8,0/8,0, 23,00 EP",FABR,NH,DH,23,NON,221,59,64.0,23.0,221,,,,Fabrics all Fields,,,,,
RFNH23GA,1260,1260/3 0.031 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNH23JA,1260,1260/3 0.031 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNH23JH,1260,1260/3 0.031 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNH23JR,1260,1260/3 0.031 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNH23QA,1260,1260/3 0.031 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNH23QR,1260,1260/3 0.031 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNH24JH,1260,1260/3 0.031 24 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,24.0,0,,,,Fabrics all Fields,,,,,
RFNH24TA,1260,1260/3 0.031 24 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,24.0,0,,,,Fabrics all Fields,,,,,
RFNH26DH,1260,1260/3 0.031 26 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFNH26JA,1260,1260/3 0.031 26 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
RFNJ16QA,840,840/2 0.022 16 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,16.0,0,,,,Fabrics all Fields,,,,,
RFNJ16UA,840,"NYLON, N6.6, 940/1/2, 10.0/12.0, 16.00 E",FABR,NJ,UA,16,NON,221,75,1448.0,16.0,221,,,,Fabrics all Fields,,,,,
RFNJ20UA,840,"NYLON, N6.6, 940/1/2, 10.0/12.0, 20.00 E",FABR,NJ,UA,20,NON,328,50,1499.0,20.0,295,,,,Fabrics all Fields,,,,,
RFNJ21JA,840,840/2 0.022 21 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,21.0,0,,,,Fabrics all Fields,,,,,
RFNJ22UA,840,"NYLON, N6.6, 940/1/2, 10.0/12.0, 22.00 E",FABR,NJ,UA,22,NON,221,50,1498.0,22.0,221,,,,Fabrics all Fields,,,,,
RFNJ25GA,840,840/2 0.56 25 EPI NYLON 66,FABR,,,,,0,0,1448.0,0.0,0,,,,Fabrics all Fields,,,,,
RFNJ27GA,840,840/2 0.56 27 EPI NYLON 66,FABR,,,,,0,0,1450.0,0.0,0,,,,Fabrics all Fields,,,,,
RFNJ27GF,840,"840/2, 27EPI, NYLON",FABR,,,,,0,0,62.0,27.0,0,,,,Fabrics all Fields,,,,,
RFNJ27JA,840,840/2 0.022 27 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,27.0,0,,,,Fabrics all Fields,,,,,
RFNJ30GA,840,"NYLON, N6.6, 940/1/2, 10,0/12,0, 30,00 E",FABR,NJ,GA,30,NON,221,50,1499.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNJ30UA,840,"NYLON, N6.6, 940/1/2, 10,0/12,0, 30,00 E",FABR,NJ,UA,30,NON,221,50,1499.0,30.0,221,,,,Fabrics all Fields,,,,,
RFNK2335,1260,1260/2 0.026 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNK23JH,1260,1260/2 0.026 23 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,23.0,0,,,,Fabrics all Fields,,,,,
RFNK26JH,1260,1260/2 0.026 26 EPI NYLON 66 FABRIC,FABR,,,,,0,0,62.0,26.0,0,,,,Fabrics all Fields,,,,,
