PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
761,207,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
761,207,117,NZTSD,New Zealand Toxic Substances Database,,
827,227,90,MSDS,MSDS Requirement,MSDS,
827,227,91,TSCA,TSCA Certificate,TSCA,
827,227,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
827,227,109,CEPA,Canadian Environmental Protection Act,,
827,227,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
827,227,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
827,227,112,AICS,Australian Inventory of chemical Substances,ELINCS,
827,227,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
827,227,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
827,227,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
827,227,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
827,227,117,NZTSD,New Zealand Toxic Substances Database,,
887,310,90,MSDS,MSDS Requirement,MSDS,
887,310,91,TSCA,TSCA Certificate,TSCA,
887,310,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
887,310,109,CEPA,Canadian Environmental Protection Act,,
887,310,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
887,310,111,ELINCS,European REACH,CEPAN,
887,310,112,AICS,Australian Inventory of chemical Substances,ELINCS,
887,310,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
887,310,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
887,310,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
887,310,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
887,310,117,NZTSD,New Zealand Toxic Substances Database,,
888,314,90,MSDS,MSDS Requirement,MSDS,
888,314,91,TSCA,TSCA Certificate,TSCA,
888,314,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
888,314,109,CEPA,Canadian Environmental Protection Act,,
888,314,110,EINECS,European Inventory of Existing Commercial Chemical,CEPA,
888,314,111,ELINCS,European REACH,CEPAN,
888,314,112,AICS,Australian Inventory of chemical Substances,ELINCS,
888,314,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
888,314,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
