MATERIAL_CODE_ID,PGM_ID,PROP_PLANT_TRIAL,PROPOSED_PLANT_FOR_TRIAL,TIRE_LINE_ID,REGION_ID,PROPOSED_REGION_FOR_TRIAL
63,21065.0,26.0,Fulda,,3.0,EMEA
63,24357.0,18.0,Debica,,3.0,EMEA
63,43159.0,100.0,Pulandian,,4.0,AP
63,16487.0,,,,,
63,18403.0,100.0,Pulandian,,4.0,AP
63,16274.0,,,,,
63,16411.0,51.0,Wittlich,,3.0,EMEA
63,16344.0,18.0,Debica,,3.0,EMEA
63,16489.0,51.0,Wittlich,,3.0,EMEA
63,24899.0,18.0,Debica,,3.0,EMEA
63,13923.0,26.0,Fulda,1.0,3.0,EMEA
63,13969.0,20.0,Amiens North,2.0,3.0,EMEA
63,14416.0,26.0,Fulda,,3.0,EMEA
63,14280.0,26.0,Fulda,1.0,3.0,EMEA
63,14282.0,26.0,Fulda,1.0,3.0,EMEA
63,17920.0,,,,,
63,17921.0,,,,,
63,18411.0,100.0,Pulandian,,4.0,AP
63,3748.0,26.0,Fulda,2.0,3.0,EMEA
63,3882.0,44.0,Dalian,,4.0,AP
63,3884.0,26.0,Fulda,,3.0,EMEA
63,3885.0,26.0,Fulda,,3.0,EMEA
63,138947.0,26.0,Fulda,,3.0,EMEA
64,4206.0,,,,,
65,22077.0,,,,,
65,82065.0,,,,,
66,19253.0,21.0,Luxembourg,,3.0,EMEA
67,24063.0,,,,,
67,24325.0,2.0,Gadsden,,1.0,North America
67,24802.0,24.0,Sava,,3.0,EMEA
67,25087.0,8.0,Lawton,,1.0,North America
67,20855.0,21.0,Luxembourg,1.0,3.0,EMEA
67,24062.0,,,,,
67,20404.0,32.0,Chile,,1.0,North America
67,20413.0,5.0,Fayetteville,,1.0,North America
67,20442.0,27.0,South Africa,,3.0,EMEA
67,45416.0,47.0,Indonesia,1.0,4.0,AP
67,16244.0,24.0,Sava,,3.0,EMEA
67,16410.0,47.0,Indonesia,,4.0,AP
67,14884.0,11.0,Valleyfield,,1.0,North America
67,17389.0,100.0,Pulandian,1.0,4.0,AP
67,15355.0,31.0,Sao Paulo,,2.0,LA
67,18353.0,18.0,Debica,,3.0,EMEA
67,17919.0,,,,,
67,15813.0,20.0,Amiens North,,3.0,EMEA
67,20421.0,18.0,Debica,,3.0,EMEA
67,24810.0,18.0,Debica,,3.0,EMEA
67,20419.0,100.0,Pulandian,,4.0,AP
67,13107.0,5.0,Fayetteville,1.0,1.0,North America
67,13678.0,18.0,Debica,2.0,3.0,EMEA
67,13913.0,20.0,Amiens North,,3.0,EMEA
67,13950.0,18.0,Debica,1.0,3.0,EMEA
67,14418.0,37.0,Malaysia,1.0,4.0,AP
67,14414.0,18.0,Debica,1.0,3.0,EMEA
67,14281.0,18.0,Debica,1.0,3.0,EMEA
67,14885.0,18.0,Debica,,3.0,EMEA
67,14985.0,8.0,Lawton,,1.0,North America
67,18506.0,24.0,Sava,,3.0,EMEA
67,3747.0,18.0,Debica,2.0,3.0,EMEA
67,3887.0,46.0,Aurangabad,,4.0,AP
67,2402.0,11.0,Valleyfield,1.0,1.0,North America
67,2541.0,44.0,Dalian,1.0,4.0,AP
67,10542.0,47.0,Indonesia,,4.0,AP
67,12143.0,11.0,Valleyfield,,1.0,North America
67,12561.0,24.0,Sava,,3.0,EMEA
67,13130.0,20.0,Amiens North,,3.0,EMEA
67,138653.0,32.0,Chile,,1.0,North America
67,143210.0,100.0,Pulandian,,4.0,AP
67,144572.0,30.0,Americana,1.0,2.0,LA
67,145382.0,40.0,Thailand,,4.0,AP
67,138216.0,240.0,San Luis Potosi,,1.0,North America
67,137791.0,24.0,Sava,,3.0,EMEA
67,110687.0,40.0,Thailand,,4.0,AP
67,99958.0,,,,,
67,127935.0,37.0,Malaysia,1.0,4.0,AP
67,99959.0,5.0,Fayetteville,,1.0,North America
67,102862.0,46.0,Aurangabad,,4.0,AP
67,133124.0,11.0,Valleyfield,,1.0,North America
67,113987.0,240.0,San Luis Potosi,,1.0,North America
67,121121.0,,,,,
67,132550.0,5.0,Fayetteville,1.0,1.0,North America
67,113376.0,18.0,Debica,1.0,3.0,EMEA
67,136725.0,11.0,Valleyfield,,1.0,North America
67,139456.0,100.0,Pulandian,,4.0,AP
67,141617.0,100.0,Pulandian,,4.0,AP
67,144417.0,32.0,Chile,,1.0,North America
67,140073.0,40.0,Thailand,,4.0,AP
67,140074.0,46.0,Aurangabad,,4.0,AP
67,140263.0,30.0,Americana,,2.0,LA
67,138307.0,26.0,Fulda,,3.0,EMEA
67,138308.0,18.0,Debica,,3.0,EMEA
67,138309.0,51.0,Wittlich,,3.0,EMEA
67,138426.0,35.0,Peru,,2.0,LA
67,138427.0,,,,,
67,42274.0,47.0,Indonesia,,4.0,AP
67,42476.0,26.0,Fulda,,3.0,EMEA
67,28886.0,2.0,Gadsden,,1.0,North America
67,40906.0,,,,,
67,44607.0,5.0,Fayetteville,,1.0,North America
67,42273.0,37.0,Malaysia,,4.0,AP
67,119880.0,30.0,Americana,,2.0,LA
67,125329.0,11.0,Valleyfield,,1.0,North America
67,111743.0,,,,,
67,121189.0,30.0,Americana,,2.0,LA
67,128056.0,37.0,Malaysia,1.0,4.0,AP
67,127938.0,11.0,Valleyfield,,1.0,North America
67,82224.0,18.0,Debica,,3.0,EMEA
67,112749.0,30.0,Americana,,2.0,LA
67,45414.0,,,1.0,,
67,42205.0,40.0,Thailand,,4.0,AP
67,29513.0,36.0,Venezuela,,2.0,LA
67,42404.0,27.0,South Africa,,3.0,EMEA
67,64160.0,240.0,San Luis Potosi,,1.0,North America
67,42755.0,18.0,Debica,,3.0,EMEA
67,57459.0,47.0,Indonesia,,4.0,AP
67,57461.0,47.0,Indonesia,,4.0,AP
67,64085.0,8.0,Lawton,,1.0,North America
67,31835.0,37.0,Malaysia,,4.0,AP
67,20525.0,,,,,
67,24720.0,51.0,Wittlich,,3.0,EMEA
67,20415.0,11.0,Valleyfield,,1.0,North America
67,20420.0,40.0,Thailand,,4.0,AP
67,20872.0,26.0,Fulda,,3.0,EMEA
67,23214.0,16.0,Buffalo / Tonawanda,,1.0,North America
67,20329.0,26.0,Fulda,,3.0,EMEA
67,20407.0,35.0,Peru,,2.0,LA
67,24064.0,51.0,Wittlich,,3.0,EMEA
67,20330.0,26.0,Fulda,,3.0,EMEA
67,20410.0,33.0,Colombia,,2.0,LA
67,24267.0,46.0,Aurangabad,,4.0,AP
68,,,,,,
69,,,,,,
70,,,,,,
71,14091.0,,,,,
71,141403.0,48.0,Amiens South,,3.0,EMEA
72,,,,,,
73,4208.0,,,,,
74,,,,,,
75,19158.0,8.0,Lawton,,1.0,North America
76,4205.0,,,,,
77,,,,,,
78,947.0,44.0,Dalian,,4.0,AP
79,943.0,44.0,Dalian,,4.0,AP
80,3344.0,9.0,Medicine Hat,,1.0,North America
81,,,,,,
82,29812.0,30.0,Americana,1.0,2.0,LA
82,30212.0,30.0,Americana,1.0,2.0,LA
82,24360.0,35.0,Peru,,2.0,LA
82,19830.0,35.0,Peru,,2.0,LA
82,24511.0,36.0,Venezuela,,2.0,LA
82,13119.0,36.0,Venezuela,1.0,2.0,LA
82,16466.0,36.0,Venezuela,,2.0,LA
82,16461.0,,,,,
82,18505.0,30.0,Americana,,2.0,LA
82,18014.0,32.0,Chile,,1.0,North America
82,24227.0,35.0,Peru,,2.0,LA
83,,,,,,
84,,,,,,
85,,,,,,
86,45202.0,33.0,Colombia,,2.0,LA
86,22996.0,,,,,
86,19372.0,40.0,Thailand,,4.0,AP
86,23161.0,40.0,Thailand,,4.0,AP
86,23094.0,,,,,
86,23155.0,,,,,
86,13120.0,,,,,
86,12762.0,4.0,Union City,,1.0,North America
86,12781.0,30.0,Americana,,2.0,LA
86,12783.0,32.0,Chile,,1.0,North America
86,12721.0,9.0,Medicine Hat,,1.0,North America
86,12784.0,35.0,Peru,,2.0,LA
86,12785.0,36.0,Venezuela,,2.0,LA
86,22937.0,40.0,Thailand,,4.0,AP
87,44461.0,100.0,Pulandian,1.0,4.0,AP
87,13264.0,40.0,Thailand,1.0,4.0,AP
87,52070.0,37.0,Malaysia,,4.0,AP
87,61706.0,100.0,Pulandian,1.0,4.0,AP
87,35429.0,37.0,Malaysia,,4.0,AP
87,47326.0,46.0,Aurangabad,,4.0,AP
87,47759.0,27.0,South Africa,,3.0,EMEA
87,47760.0,23.0,Adapazari,,3.0,EMEA
87,48567.0,46.0,Aurangabad,,4.0,AP
87,49014.0,,,,,
87,43347.0,23.0,Adapazari,,3.0,EMEA
87,23343.0,27.0,South Africa,,3.0,EMEA
87,19105.0,27.0,South Africa,,3.0,EMEA
87,19109.0,20.0,Amiens North,,3.0,EMEA
87,24892.0,23.0,Adapazari,,3.0,EMEA
87,18045.0,47.0,Indonesia,,4.0,AP
87,15761.0,40.0,Thailand,,4.0,AP
87,18710.0,47.0,Indonesia,,4.0,AP
87,18021.0,37.0,Malaysia,,4.0,AP
87,15688.0,100.0,Pulandian,,4.0,AP
87,14821.0,46.0,Aurangabad,24.0,4.0,AP
87,18047.0,,,,,
87,18113.0,47.0,Indonesia,,4.0,AP
87,18020.0,,,,,
87,13503.0,40.0,Thailand,1.0,4.0,AP
87,13492.0,,,,,
87,13316.0,40.0,Thailand,1.0,4.0,AP
87,13982.0,47.0,Indonesia,,4.0,AP
87,13980.0,47.0,Indonesia,,4.0,AP
87,13979.0,44.0,Dalian,,4.0,AP
87,18048.0,46.0,Aurangabad,,4.0,AP
87,1204.0,23.0,Adapazari,,3.0,EMEA
87,10622.0,40.0,Thailand,2.0,4.0,AP
87,49015.0,47.0,Indonesia,1.0,4.0,AP
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,6481.0,5.0,Fayetteville,,1.0,North America
93,13148.0,2.0,Gadsden,1.0,1.0,North America
93,7228.0,2.0,Gadsden,1.0,1.0,North America
94,,,,,,
95,38646.0,1.0,Danville,,1.0,North America
95,15768.0,,,,,
95,13106.0,,,,,
95,185.0,1.0,Danville,,1.0,North America
95,18296.0,,,,,
96,,,,,,
97,5405.0,,,,,
98,,,,,,
99,105412.0,24.0,Sava,,3.0,EMEA
