MATERIAL_CODE_ID,MATERIAL_CODE,REVISION_NO,MATERIAL_GROUP,CLASS,SUBCLASS,DOUBLE_SUBCLASS,EUROPE_CLASS,MANET_CLASS,MANET_SUBCLASS,UPDATED_CMNTS,MATERIAL_DESC,IS_ACTIVE,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,MATERIAL_TYPE,MATERIAL_SUBTYPE,COMPONENT_TYPE,STAINING,COMPATIBLE,MATERIAL_FORM,SPECIFIC_GRAVITY,RHC_POLYMER,RHC_OIL,RHC_FILLER,FLY_LOSS
8421,RFBH01UF,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,no shipments,3x7x.175 HE,N,1121,2012-06-25 03:04:08,459.0,2019-05-22 08:44:52,WIRE,WIRE,WIRE,N,Y, ,1.0,0.0,0.0,0.0,0.0
6381,RFTEST,0,REINFORCEMENT,YARN,COTTON,,,,,test,this is a test,N,216,2011-02-18 10:43:50,216.0,2011-02-18 10:46:48,,,,,,,,0.0,0.0,0.0,
6422,RF9473,0,REINFORCEMENT,Miscellaneous,FILL,,,,,Inactivating Material,"20's/1 High wet modulus Rayon, Waxed",N,216,2011-02-22 10:50:07,10640.0,2024-06-10 16:42:28,FABR,FABRSQW,MISC,N,N, ,1.0,0.0,0.0,0.0,0.0
7301,RF091JH,0,REINFORCEMENT,WIRE,BEAD WIRE,,,,,coding is wrong,0.89MM BEAD WIRE - HIGH TENSILE,N,1121,2011-10-18 02:24:13,216.0,2011-10-18 09:23:44,WIRE,WIRE,BEAD,,,,,0.0,0.0,0.0,
7561,RFBL01WA,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,7X7X.25+1 HT,N,159,2011-12-06 13:43:25,30.0,2012-02-24 14:49:46,WIRE,WIRE,,,,,,0.0,0.0,0.0,
7581,RFBL01WM,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,7X19X20+1X15HT,N,159,2011-12-08 10:53:52,30.0,2012-02-24 14:49:46,WIRE,WIRE,,,,,,0.0,0.0,0.0,
7661,RFBH01FS,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,converted Dunlop code. kom,3x3x.170 NT,N,3300,2011-12-14 10:10:04,30.0,2012-02-24 14:49:46,WIRE,WIRE,,,,,,0.0,0.0,0.0,
7881,RFI16L,0,REINFORCEMENT,YARN,NYLON 6,,,,,,1400 DECITEX NYLON 6,Y,216,2012-02-28 10:41:29,,,,,,,,,,0.0,0.0,0.0,
8321,RFBL01UU,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,1X.22/18X.20 ST WIRE,N,1121,2012-05-15 09:30:22,30.0,2012-08-02 11:32:17,WIRE,WIRE,,,,,,0.0,0.0,0.0,
6321,RF246CH,0,REINFORCEMENT,WIRE,BEAD WIRE,,,,,incorrect entry,1.83MM BEAD WIRE - HIGH TENSILE,N,1121,2011-02-09 03:06:17,216.0,2011-09-28 10:45:43,WIRE,WIRE,BEAD,,,,,0.0,0.0,0.0,
6721,RFS04Q,0,REINFORCEMENT,YARN,POLYESTER - HMLS AA,,,,,,1670 DECITEX AA-HMLS POLYESTER,Y,160,2011-05-03 09:39:26,,,,,,,,,,0.0,0.0,0.0,
6901,RFK33A,0,REINFORCEMENT,YARN,ARAMID,,,,,,1670 Decitex Aramid,Y,216,2011-06-10 12:08:28,,,,,,,,,,0.0,0.0,0.0,
7621,RFBA19SG,0,REINFORCEMENT,FABRIC,"NYLON 6,6",,,,,SOS Review 4/17/13,NYLON66 NK202 - 1880x2dtex - 75epd - 320/320tpm ex Kordsa/Kordsa,N,216,2011-12-13 09:20:18,216.0,2013-04-17 14:25:57,FABR,FABR,FABR,N,Y, ,0.01,0.0,0.0,0.0,0.01
7981,RFG52R,0,REINFORCEMENT,YARN,RAYON,,,,,,1840 Decitex (1650 denier) Rayon,Y,216,2012-03-22 06:51:55,,,,,,,,,,0.0,0.0,0.0,
8101,RFC401WP,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,2+2X.25 NT,N,1121,2012-04-05 08:03:29,30.0,2012-08-02 11:32:17,WIRE,WIRE,,,,,,0.0,0.0,0.0,
8401,RFY201WP,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,2+2X.25 NT,N,1121,2012-06-18 03:18:59,30.0,2012-08-02 11:32:17,WIRE,WIRE,,,,,,0.0,0.0,0.0,
6361,RFKAREN,0,REINFORCEMENT,CONVERTED FABRIC,POLYESTER,,,,,test,test,N,216,2011-02-17 14:21:10,216.0,2011-02-17 14:21:36,FABR,FABRSQW,POLYESTER,,,,,0.0,0.0,0.0,
7601,RFZ10N,0,REINFORCEMENT,YARN,"NYLON 6,6",,,,,edit description,"1880 DECITEX (1692 denier) NYLON 6,6.  DUNLOP ONLY",Y,216,2011-12-12 15:12:55,216.0,2014-06-05 08:55:57,FABR,FABR,FABR,N,Y, ,1.0,0.0,0.0,0.0,1.0
8102,RFC401UW,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,2+2X.295 HT,N,1121,2012-04-05 08:05:14,30.0,2012-08-02 11:32:17,WIRE,WIRE,,,,,,0.0,0.0,0.0,
8361,RFD201FQ,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,3+2x.35 UT,N,1121,2012-06-12 02:53:50,30.0,2012-08-02 11:32:17,WIRE,WIRE,,,,,,0.0,0.0,0.0,
8621,RFQ09R,0,REINFORCEMENT,YARN,RAYON,,,,,,Rayon 1220 dtex,Y,3442,2012-08-22 08:38:33,,,,,,,,,,0.0,0.0,0.0,
8721,RFK34P,0,REINFORCEMENT,YARN,POLYESTER - HMULS,,,,,to add supplier,2200dtex non-AA HMULS Polyester,Y,216,2012-10-08 15:38:26,216.0,2012-10-08 15:45:45,,,,,,,,0.0,0.0,0.0,
6423,RF9480,0,REINFORCEMENT,Miscellaneous,FILL,,,,,Inactivating Material,"12's/1 High wet modulus Rayon, Unwaxed",N,216,2011-02-22 12:26:21,10640.0,2024-06-10 16:44:51,FABR,FABRSQW,MISC,N,N, ,1.0,0.0,0.0,0.0,0.0
6841,RFZ102WP,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,incorrect material code,2+2X.25 NT,N,1121,2011-05-26 09:57:01,216.0,2011-09-29 14:00:35,WIRE,WIRE,,,,,,0.0,0.0,0.0,
6961,RFZ103WT,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,2+1X.28 NT,N,1121,2011-06-17 02:20:14,30.0,2011-10-25 12:16:19,WIRE,WIRE,,,,,,0.0,0.0,0.0,
7001,RFLBRF006,1,REINFORCEMENT,Miscellaneous,RFID,,,,,,TRC W/ECID006,Y,216,2011-07-01 11:32:54,,,,,,,,,,0.0,0.0,0.0,
7241,RFBA01FQ,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,3+2x.35 UT,N,1121,2011-09-16 03:09:25,30.0,2011-10-25 12:16:19,WIRE,WIRE,,,,,,0.0,0.0,0.0,
7242,RFP201FQ,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,3+2x.35 UT,N,1121,2011-09-16 03:11:14,30.0,2011-10-25 12:16:19,WIRE,WIRE,,,,,,0.0,0.0,0.0,
7602,RFBAX1SG,0,REINFORCEMENT,FABRIC,"NYLON 6,6",,,,,DDC*H codification alignment,NYLON66 NK202 - 1880x2dtex - 75epd - 320/320tpm ex Kordsa/Kordsa,N,216,2011-12-12 15:21:30,216.0,2013-11-15 07:27:27,FABR,FABR,FABR,N,Y, ,1.0,0.0,0.0,0.0,1.0
7641,RFLP26,0,REINFORCEMENT,GREIGE,NYLON 6,,,,,Greige Fabric is no longer purchased.,NYLON 6 2100/2 8x8 TPI 26 EPI,N,216,2011-12-13 10:24:18,92.0,2019-05-31 14:43:06,FABR,FABR,FABR,N,Y, ,1.0,0.0,0.0,0.0,1.0
8661,RFC101WL REV01,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,Program had wrong material code and thsi source was added manually to SOS.,2X.295 HT,N,1121,2012-08-31 05:07:51,30.0,2012-11-09 15:38:12,WIRE,WIRE,,,,,,0.0,0.0,0.0,
6442,RF9489,0,REINFORCEMENT,Miscellaneous,FILL,,,,,Inactivating Material,Fiberglass/Cotton Wrap,N,216,2011-02-23 08:39:48,10640.0,2024-06-10 16:46:35,FABR,FABRSQW,MISC,N,N, ,1.0,0.0,0.0,0.0,0.0
6981,RF145JH,0,REINFORCEMENT,WIRE,BEAD WIRE,,,,,material code is incorrect,0.89MM BEAD WIRE - HIGH TENSILE,N,1121,2011-06-21 02:08:56,216.0,2011-10-18 09:30:04,WIRE,WIRE,BEAD,,,,,0.0,0.0,0.0,
7002,RFLBRF007,1,REINFORCEMENT,Miscellaneous,RFID,,,,,,STRC W/ECID009,Y,216,2011-07-01 11:37:24,,,,,,,,,,0.0,0.0,0.0,
7501,RFAH01SO,0,REINFORCEMENT,Single End Dipped Cord,ARAMID,,,,,In use at Montlu¿on,ARAMID SED CORD - 1100x2dtex - 550/550tpm ex Teijin Aramid/Teijin Aramid,Y,216,2011-11-17 08:23:52,6200.0,2016-04-14 04:04:32,FABR,SCORD,SINGLE END CORD,N,N, ,1.0,0.0,0.0,0.0,0.0
7741,RFBL01UG,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,1X.20/18X.175 ST,N,2340,2012-01-23 13:38:55,30.0,2012-02-24 14:49:46,WIRE,WIRE,,,,,,0.0,0.0,0.0,
8821,RFU05L,0,REINFORCEMENT,YARN,NYLON 6,,,,,,2100dtex nylon6 yarn (see SIS for complete spec),Y,1060,2012-11-06 07:36:19,,,,,,,,,,0.0,0.0,0.0,
8801,RFK28QU32PF,0,REINFORCEMENT,FABRIC,POLYESTER - HMLS AA,,,,,NS_014978 was closed with the wrong material code.,AA HMLS POLYESTER 1440/1/2 9 X 9 TPI 32EPI PF,N,4420,2012-11-06 04:32:40,30.0,2012-11-09 16:23:18,,,,,,,,0.0,0.0,0.0,
8901,RFC101FQ,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,3+2x.35 UT,N,3961,2012-11-19 09:54:51,30.0,2013-01-16 15:45:22,,,,,,,,0.0,0.0,0.0,
8941,RFP401EE,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,5/8/14X.265+1ST,N,2340,2012-11-28 16:40:05,30.0,2013-01-14 18:17:35,,,,,,,,0.0,0.0,0.0,
8981,RFYM26PF,0,REINFORCEMENT,FABRIC,POLYESTER - HMULS AA,,,,,"Remove, SOS review 4/17/13","need one from the SIS spec, when it is in sis",N,216,2012-12-10 12:46:58,216.0,2013-04-19 13:28:19,FABR,FABR,FABR,N,Y, ,0.1,0.0,0.0,0.0,0.01
9001,RFBL01ES,0,REINFORCEMENT,WIRE,STEEL CORD,,,,,,(0.40+6X.365)+6X(.365+6X.35) ST,N,2340,2012-12-10 14:19:53,30.0,2013-01-14 18:17:35,,,,,,,,0.0,0.0,0.0,
