,PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
122,23,21,90,MSDS,Y,,,,338.0,
123,23,21,91,TSCA,Y,,,,338.0,
124,23,21,110,CEPAD,Y,,,,338.0,
125,23,21,111,CEPAN,Y,,,,338.0,
126,23,21,112,ELINCS,Y,,,,338.0,
127,23,21,113,EINECS,Y,,,,338.0,
128,23,21,114,KKDIK,Y,,,,338.0,
129,23,21,116,ENCS,Y,,,,338.0,
130,29,3261,90,MSDS,Y,,,,4061.0,LA
131,29,3261,91,TSCA,Y,,,,4061.0,LA
132,29,3261,110,CEPAD,Y,,,,4061.0,LA
133,29,3261,111,CEPAN,N,,,,4061.0,LA
134,29,3261,112,ELINCS,Y,,,,4061.0,LA
135,29,3261,113,EINECS,Y,,,,4061.0,LA
136,29,3261,114,KKDIK,Y,,,,4061.0,LA
137,29,3261,116,ENCS,Y,,,,4061.0,LA
138,30,7866,90,MSDS,Y,56.0,Chem Beaumont,NA,222.0,North America
139,30,7866,91,TSCA,Y,56.0,Chem Beaumont,NA,222.0,North America
140,30,7866,110,CEPAD,Y,56.0,Chem Beaumont,NA,222.0,North America
141,30,7866,111,CEPAN,U,56.0,Chem Beaumont,NA,222.0,North America
142,30,7866,112,ELINCS,U,56.0,Chem Beaumont,NA,222.0,North America
143,30,7866,113,EINECS,U,56.0,Chem Beaumont,NA,222.0,North America
144,30,7866,114,KKDIK,U,56.0,Chem Beaumont,NA,222.0,North America
145,30,7866,116,ENCS,U,56.0,Chem Beaumont,NA,222.0,North America
146,31,3101,90,MSDS,Y,,,,3521.0,North America
147,31,3101,91,TSCA,U,,,,3521.0,North America
148,31,3101,110,CEPAD,U,,,,3521.0,North America
149,31,3101,111,CEPAN,U,,,,3521.0,North America
150,31,3101,112,ELINCS,U,,,,3521.0,North America
151,31,3101,113,EINECS,U,,,,3521.0,North America
152,31,3101,114,KKDIK,U,,,,3521.0,North America
153,31,3101,116,ENCS,U,,,,3521.0,North America
154,32,3102,90,MSDS,U,,,,3521.0,North America
155,32,3102,91,TSCA,Y,,,,3521.0,North America
156,32,3102,110,CEPAD,Y,,,,3521.0,North America
157,32,3102,111,CEPAN,N,,,,3521.0,North America
158,32,3102,112,ELINCS,Y,,,,3521.0,North America
159,32,3102,113,EINECS,Y,,,,3521.0,North America
160,32,3102,114,KKDIK,Y,,,,3521.0,North America
161,32,3102,116,ENCS,Y,,,,3521.0,North America
162,33,3103,90,MSDS,U,,,,3541.0,North America
163,33,3103,91,TSCA,Y,,,,3541.0,North America
164,33,3103,110,CEPAD,Y,,,,3541.0,North America
165,33,3103,111,CEPAN,U,,,,3541.0,North America
166,33,3103,112,ELINCS,Y,,,,3541.0,North America
167,33,3103,113,EINECS,Y,,,,3541.0,North America
168,33,3103,114,KKDIK,Y,,,,3541.0,North America
169,33,3103,116,ENCS,Y,,,,3541.0,North America
170,39,5061,90,MSDS,Y,,,,4822.0,North America
171,39,5061,91,TSCA,Y,,,,4822.0,North America
172,39,5061,110,CEPAD,Y,,,,4822.0,North America
173,39,5061,111,CEPAN,U,,,,4822.0,North America
174,39,5061,112,ELINCS,N,,,,4822.0,North America
175,39,5061,113,EINECS,N,,,,4822.0,North America
176,39,5061,114,KKDIK,Y,,,,4822.0,North America
177,39,5061,116,ENCS,Y,,,,4822.0,North America
178,133,141,90,MSDS,Y,,,,2031.0,EMEA
179,133,141,91,TSCA,Y,,,,2031.0,EMEA
180,133,141,110,CEPAD,Y,,,,2031.0,EMEA
181,133,141,111,CEPAN,Y,,,,2031.0,EMEA
182,133,141,112,ELINCS,N,,,,2031.0,EMEA
183,133,141,113,EINECS,Y,,,,2031.0,EMEA
184,133,141,114,KKDIK,Y,,,,2031.0,EMEA
185,133,141,116,ENCS,Y,,,,2031.0,EMEA
186,178,81,90,MSDS,N,,,,798.0,AP
187,178,81,91,TSCA,Y,,,,798.0,AP
188,178,81,110,CEPAD,U,,,,798.0,AP
189,178,81,111,CEPAN,U,,,,798.0,AP
190,178,81,112,ELINCS,U,,,,798.0,AP
191,178,81,113,EINECS,U,,,,798.0,AP
192,178,81,114,KKDIK,U,,,,798.0,AP
193,178,81,116,ENCS,U,,,,798.0,AP
194,181,142,90,MSDS,Y,,,,1441.0,AP
195,181,142,91,TSCA,Y,,,,1441.0,AP
196,181,142,110,CEPAD,Y,,,,1441.0,AP
197,181,142,111,CEPAN,Y,,,,1441.0,AP
198,181,142,112,ELINCS,U,,,,1441.0,AP
199,181,142,113,EINECS,U,,,,1441.0,AP
200,181,142,114,KKDIK,U,,,,1441.0,AP
201,181,142,116,ENCS,Y,,,,1441.0,AP
202,182,143,90,MSDS,Y,,,,1425.0,North America
203,182,143,90,MSDS,Y,,,,1425.0,LA
204,182,143,90,MSDS,Y,,,,1425.0,EMEA
205,182,143,90,MSDS,Y,,,,1425.0,AP
206,182,143,91,TSCA,Y,,,,1425.0,AP
207,182,143,91,TSCA,Y,,,,1425.0,EMEA
208,182,143,91,TSCA,Y,,,,1425.0,LA
209,182,143,91,TSCA,Y,,,,1425.0,North America
210,182,143,110,CEPAD,Y,,,,1425.0,EMEA
211,182,143,110,CEPAD,Y,,,,1425.0,LA
212,182,143,110,CEPAD,Y,,,,1425.0,North America
213,182,143,110,CEPAD,Y,,,,1425.0,AP
214,182,143,111,CEPAN,Y,,,,1425.0,EMEA
215,182,143,111,CEPAN,Y,,,,1425.0,LA
216,182,143,111,CEPAN,Y,,,,1425.0,North America
217,182,143,111,CEPAN,Y,,,,1425.0,AP
218,182,143,112,ELINCS,Y,,,,1425.0,AP
219,182,143,112,ELINCS,Y,,,,1425.0,North America
220,182,143,112,ELINCS,Y,,,,1425.0,LA
221,182,143,112,ELINCS,Y,,,,1425.0,EMEA
222,182,143,113,EINECS,Y,,,,1425.0,North America
223,182,143,113,EINECS,Y,,,,1425.0,LA
224,182,143,113,EINECS,Y,,,,1425.0,AP
225,182,143,113,EINECS,Y,,,,1425.0,EMEA
226,182,143,114,KKDIK,Y,,,,1425.0,EMEA
227,182,143,114,KKDIK,Y,,,,1425.0,AP
228,182,143,114,KKDIK,Y,,,,1425.0,LA
229,182,143,114,KKDIK,Y,,,,1425.0,North America
230,182,143,116,ENCS,Y,,,,1425.0,North America
231,182,143,116,ENCS,Y,,,,1425.0,LA
