PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROP_PLANT_TRIAL_ID,PROP_PLANT_FOR_TRIAL,PROP_REGION,MATERIAL_CODE_ID,REGION_FOR_SOS_APPROVAL
31,3101,112,ELINCS,U,,,,3521.0,North America
31,3101,113,EINECS,U,,,,3521.0,North America
31,3101,114,KKDIK,U,,,,3521.0,North America
31,3101,116,ENCS,U,,,,3521.0,North America
32,3102,90,MSDS,U,,,,3521.0,North America
32,3102,91,TSCA,Y,,,,3521.0,North America
32,3102,109,TSCASEC,Y,,,,3521.0,North America
32,3102,110,CEPA,Y,,,,3521.0,North America
32,3102,111,CEPAN,N,,,,3521.0,North America
32,3102,112,ELINCS,Y,,,,3521.0,North America
32,3102,113,EINECS,Y,,,,3521.0,North America
32,3102,114,KKDIK,Y,,,,3521.0,North America
32,3102,116,ENCS,Y,,,,3521.0,North America
33,3103,90,MSDS,U,,,,3541.0,North America
33,3103,91,TSCA,Y,,,,3541.0,North America
33,3103,109,TSCASEC,Y,,,,3541.0,North America
33,3103,110,CEPA,Y,,,,3541.0,North America
33,3103,111,CEPAN,U,,,,3541.0,North America
33,3103,112,ELINCS,Y,,,,3541.0,North America
33,3103,113,EINECS,Y,,,,3541.0,North America
33,3103,114,KKDIK,Y,,,,3541.0,North America
33,3103,116,ENCS,Y,,,,3541.0,North America
39,5061,90,MSDS,Y,,,,4822.0,North America
39,5061,91,TSCA,Y,,,,4822.0,North America
39,5061,109,TSCASEC,Y,,,,4822.0,North America
39,5061,110,CEPA,Y,,,,4822.0,North America
39,5061,111,CEPAN,U,,,,4822.0,North America
39,5061,112,ELINCS,N,,,,4822.0,North America
39,5061,113,EINECS,N,,,,4822.0,North America
39,5061,114,KKDIK,Y,,,,4822.0,North America
39,5061,116,ENCS,Y,,,,4822.0,North America
133,141,90,MSDS,Y,,,,2031.0,EMEA
133,141,91,TSCA,Y,,,,2031.0,EMEA
133,141,109,TSCASEC,N,,,,2031.0,EMEA
133,141,110,CEPA,Y,,,,2031.0,EMEA
133,141,111,CEPAN,Y,,,,2031.0,EMEA
133,141,112,ELINCS,N,,,,2031.0,EMEA
133,141,113,EINECS,Y,,,,2031.0,EMEA
133,141,114,KKDIK,Y,,,,2031.0,EMEA
133,141,116,ENCS,Y,,,,2031.0,EMEA
178,81,90,MSDS,N,,,,798.0,AP
178,81,91,TSCA,Y,,,,798.0,AP
178,81,109,TSCASEC,U,,,,798.0,AP
178,81,110,CEPA,U,,,,798.0,AP
178,81,111,CEPAN,U,,,,798.0,AP
178,81,112,ELINCS,U,,,,798.0,AP
178,81,113,EINECS,U,,,,798.0,AP
178,81,114,KKDIK,U,,,,798.0,AP
178,81,116,ENCS,U,,,,798.0,AP
181,142,90,MSDS,Y,,,,1441.0,AP
181,142,91,TSCA,Y,,,,1441.0,AP
181,142,109,TSCASEC,N,,,,1441.0,AP
181,142,110,CEPA,Y,,,,1441.0,AP
181,142,111,CEPAN,Y,,,,1441.0,AP
181,142,112,ELINCS,U,,,,1441.0,AP
181,142,113,EINECS,U,,,,1441.0,AP
181,142,114,KKDIK,U,,,,1441.0,AP
181,142,116,ENCS,Y,,,,1441.0,AP
182,143,90,MSDS,Y,,,,1425.0,LA
182,143,90,MSDS,Y,,,,1425.0,AP
182,143,90,MSDS,Y,,,,1425.0,EMEA
182,143,90,MSDS,Y,,,,1425.0,North America
182,143,91,TSCA,Y,,,,1425.0,North America
182,143,91,TSCA,Y,,,,1425.0,AP
182,143,91,TSCA,Y,,,,1425.0,LA
182,143,91,TSCA,Y,,,,1425.0,EMEA
182,143,109,TSCASEC,Y,,,,1425.0,North America
182,143,109,TSCASEC,Y,,,,1425.0,LA
182,143,109,TSCASEC,Y,,,,1425.0,EMEA
182,143,109,TSCASEC,Y,,,,1425.0,AP
182,143,110,CEPA,Y,,,,1425.0,EMEA
182,143,110,CEPA,Y,,,,1425.0,AP
182,143,110,CEPA,Y,,,,1425.0,LA
182,143,110,CEPA,Y,,,,1425.0,North America
182,143,111,CEPAN,Y,,,,1425.0,AP
182,143,111,CEPAN,Y,,,,1425.0,EMEA
182,143,111,CEPAN,Y,,,,1425.0,LA
182,143,111,CEPAN,Y,,,,1425.0,North America
182,143,112,ELINCS,Y,,,,1425.0,EMEA
182,143,112,ELINCS,Y,,,,1425.0,AP
182,143,112,ELINCS,Y,,,,1425.0,LA
182,143,112,ELINCS,Y,,,,1425.0,North America
182,143,113,EINECS,Y,,,,1425.0,AP
182,143,113,EINECS,Y,,,,1425.0,EMEA
182,143,113,EINECS,Y,,,,1425.0,LA
182,143,113,EINECS,Y,,,,1425.0,North America
182,143,114,KKDIK,Y,,,,1425.0,EMEA
182,143,114,KKDIK,Y,,,,1425.0,AP
182,143,114,KKDIK,Y,,,,1425.0,LA
182,143,114,KKDIK,Y,,,,1425.0,North America
182,143,116,ENCS,Y,,,,1425.0,North America
