MATERIAL_CODE,MATERIAL_DESC
RFX07R,2440 DECITEX RAYON
RFX06R,1220 DECITEX RAYON
RFM18T,1670 DECITEX HMLS POLYESTER
RFU04T,1670 DECITEX HMLS POLYESTER
RFU03T,1440 DECITEX HMLS POLYESTER
RFU02T,1100 DECITEX HMLS POLYESTER
RFU02N,"1400 DECITEX NYLON 6,6"
RFU01N,"940 DECITEX NYLON 6,6"
RFTU30HF,HMLS POLYESTER 1440/1/2 9X9 TPI 30EPI HF
RFRR30BD,RAYON 1550/1/2  10.7X10.7TPI  30EPI BD
RFNF29GA,"NYLON 6,6 1400/1/2 10X10 TPI 29EPI GA"
RFB09Q,1100 DECITEX AA-HMLS POLYESTER
RFB08T,1670 DECITEX HMLS POLYESTER
RFB08N,"940 DECITEX  NYLON 6,6"
RFB07N,"2100 DECITEX NYLON 6,6"
RFB06L,1880 DECITEX NYLON 6
RFB05L,2100 DECITEX NYLON 6
RFB03Q,1100 DECITEX AA-HMLS POLYESTER
RFB03L,940 DECITEX NYLON 6
RFB01N,"940 DECITEX (846 denier) NYLON 6,6"
RFB01L,1400 DECITEX NYLON 6
RFC22GZ,3300/0/2 FIBERGLASS 60 TPM Z-TWIST SED PILOT CORD
RFC21GZ,3300/0/2 FIBERGLASS 60 TPM Z-TWIST SED
RFC21GS,3300/0/2 FIBERGLASS 60 TPM S-TWIST SED
RFC20GZ,3300/0/3 FIBERGLASS 60 TPM Z-TWIST SED PILOT CORD
RFC19GZ,3300/0/3 FIBERGLASS 60 TPM Z-TWIST SED
RFC19GS,3300/0/3 FIBERGLASS 60 TPM S-TWIST SED
RFC18GZ,3300/0/1 FIBERGLASS 60 TPM Z-TWIST SED PILOT CORD
RFC17GZ,3300/0/1 FIBERGLASS 60 TPM Z-TWIST SED
RFC17GS,3300/0/1 FIBERGLASS 60 TPM S-TWIST SED
RFC05N,"470 DECITEX NYLON 6,6"
RFA07N,"940 DECITEX NYLON 6,6"
RFA06N,"2100 DECITEX NYLON 6,6"
RFA05N,"1400 DECITEX NYLON 6,6"
RF720N,"950 DECITEX NYLON 6,6 (MONOFILAMENT)"
RF711K,"10,000 DECITEX NYLON 6,6 (MONOFILAMENT)"
RF112A,1100 DECITEX ARAMID
RF107A,1670 DECITEX ARAMID
RF9496,18/1 POLY COTTON
RF9494,NE24'S (NM40.6) COTTON
RF9493,NE18'S (NM30.4) COTTON
RF9492,NE20'S (NM34) POLYCOTTON
RFM17T,1100 DECITEX HMLS POLYESTER
RFM16Q,1100 DECITEX AA-HMLS POLYESTER
RFM14L,2100 DECITEX NYLON 6
RFM10L,1400 DECITEX NYLON 6
RFM09L,940 DECITEX NYLON 6
RFLV23GF,NYLON 6 2100/1/2 6X8 TPI 23EPI GF
RFLQ,1400/2 DECITEX NYLON 6 WOVEN 15X15
RFLP23JF,NYLON 6 2100/1/2 8 X 8 TPI 23EPI JF
RFNC32,"NYLON 6,6  940/1/2 12 X 12 TPI 32EPI"
RFNC30MC,"NYLON 6,6 940/1/2 12X12 TPI 30EPI MC"
RFLP23,NYLON 6 2100/1/2 8 X 8 TPI 23EPI
RFLP19JF,NYLON 6 2100/1/2 8 X 8 TPI 19EPI JF
RFLP19,NYLON 6 2100/1/2 8 X 8 TPI 19EPI
RFLL26GF,"NYLON 6, 1400/1/2 8X10 TPI 26 EPI GF"
RFLL23GF,"NYLON 6, 1400/1/2 8X10 TPI 23 EPI GF"
RFLC33,NYLON 6 940/1/2 12x12 TPI 33 EPI
RFLC27JA,NYLON 6 940/1/2 12X12 TPI 27EPI JA
RFLC20QA,NYLON 6 940/1/2 12X12 TPI 20EPI QA
RFLC16SL,NYLON 6 940/1/2 12X12 TPI 16EPI SL
RFL16A,1100 DTEX ARAMID (NO AT17 EU&EEMEA)
RFL15Q,1440 DECITEX AA-HMLS POLYESTER
RFL01A,1670 DECITEX ARAMID
RFKH,1.20MM BEAD WIRE - HIGH TENSILE
RFKD18JA,"NYLON 6,6 10000/0/1 MONOFILAMENT 18EPI JA"
RFKC15JR,"NYLON 6,6 4400/0/1 MONOFILAMENT 15EPI JR"
RFK30T,1100 DECITEX HMLS POLYESTER
RFK29T,2200 DECITEX HMLS POLYESTER
RFK28Q,1440 DECITEX AA HMLS POLYESTER
RFK27T,1670 DECITEX HMLS POLYESTER
RFK25Q,1100 DECITEX AA HMLS POLYESTER
RFK24T,1440 DECITEX HMLS POLYESTER
RFK23T,1100 DECITEX HMLS POLYESTER
RFH07L,2100 DECITEX NYLON 6
RFGD20SA,FIBERGLASS  3300/0/3 0X1.5 TPI 20EPI SA
RFGB16SB,FIBERGLASS  3300/0/2 0X1.5 TPI 16EPI SB
RFGB16SA,FIBERGLASS  3300/0/2 0X1.5 TPI 16EPI SA
RFGA22SA,FIBERGLASS  3300/0/1 0X1.5 TPI 22EPI SA
RFGA18SA,FIBERGLASS  3300/0/1 0X1.5 TPI 18EPI SA
RFG51K,"10,000 DECITEX NYLON 6,6 (MONOFILAMENT)"
RFG49R,2440 DECITEX RAYON
RFG48R,1860 DECITEX RAYON
RFG47R,1220 DECITEX RAYON
RFG46R,2440 DECITEX RAYON
RFG45R,1840 DECITEX RAYON
RFG10N,"2100 DECITEX NYLON 6,6"
RFG09N,"1400 DECITEX NYLON 6,6"
RFG08N,"940 DECITEX NYLON 6,6"
RFF09T,1440 DECITEX HMLS POLYESTER
RFF08T,1100 DECITEX HMLS POLYESTER
RFF07Q,1440 DECITEX AA-HMLS POLYESTER
RFF06Q,1100 DECITEX AA-HMLS POLYESTER
RFE08A,1100 DTEX ARAMID
RFE05N,"945 DECITEX NYLON 6,6 (MONOFILAMENT)"
RFE07K,"10,000 DECITEX NYLON 6,6 (MONOFILAMENT)"
RF9490,NE18'S (NM30.4) COTTON
RF9488,NE26.6'S (NM45) HIGH ELONGATION WEFT YARN
RF9487,NE26.6'S (NM45) COTTON
RF9483,20'S/1 POLY COTTON
RF712K,"4400 DECITEX NYLON 6,6 (MONOFIL)"
RF540Q,1440 DECITEX AA-HMLS POLYESTER
RF538Q,1670 DECITEX AA-HMLS POLYESTER
RF537T,1670 DECITEX HMLS POLYESTER
RF536T,1100 DECITEX HMLS POLYESTER
RF324T,2200 DECITEX HMLS POLYESTER
RF323V,1110 DTEX BELTEC (NYLON/HMLS CO-POLYMER)
RF319T,1670 DECITEX HMLS POLYESTER
RF318T,1100 DECITEX HMLS POLYESTER
RF317T,1440 DECITEX HMLS POLYESTER
RF303Q,1100 DECITEX AA-HMLS POLYESTER
RF2969,1440 DECITEX POLYESTER HMLS-AA
RF139N,"1400 DECITEX NYLON 6,6"
RF138J,"2100 DECITEX NYLON 6,6"
RF137J,"1400 DECITEX NYLON 6,6"
RF118N,"470 DECITEX NYLON 6,6"
RFV03L,1880 DECITEX NYLON 6
RFTF279,20'S/1 NYLON/COTTON
RFNF29JA,"NYLON 6,6  1400/1/2 10 X 10 TPI 29EPI JA"
RFNF28JF,"NYLON 6,6  1400/1/2 10 X 10 TPI 28EPI JF"
RFNF23JF,"NYLON 6,6  1400/1/2 10 X 10 TPI 23EPI JF"
RFNC35JA,"NYLON 6,6  940/1/2 12 X 12 TPI 35EPI JA"
RFNC21JF,"NYLON 6,6  940/1/2 12 X 12 TPI 21EPI JF"
RFNC20QA,"NYLON 6,6  940/1/2 12 X 12 TPI 20EPI QA"
RFNC16QF,"NYLON 6,6  940/1/2 12 X 12 TPI 16EPI QF"
RFNB20GA,"NYLON 6,6  1400/2/1  0X3TPI  20EPI  GA"
RFN07L,1880 DECITEX NYLON 6
RFN04N,"1880 DECITEX NYLON 6,6"
RFQZ20PF,AA HMLS 1440/1/3  4.5X4.5TPI  20EPI PF
RFQB28PF,AA HMLS POLYESTER 1100/1/3 8.5 X 8.5 TPI 28EPI PF
RFQB28PA,AA HMLS 1100/1/3  8.5X8.5TPI 28EPI PA
RFX08R,2440 DECITEX RAYON
RFWN,2+1X.30 NT
RFH65,CABLE BEAD WIRE
RFH64A,CABLE BEAD WIRE
RFH64,CABLE BEAD WIRE
RFH55,CABLE BEAD WIRE
RFH54A,CABLE BEAD WIRE
RFH54,CABLE BEAD WIRE
RFH45A,CABLE BEAD WIRE
RFH45,"1x6.0+(11+17+23+29)x2.2
"
RFH44A,CABLE BEAD WIRE
RFH35A,CABLE BEAD WIRE
RFH35,CABLE BEAD WIRE
RFG55A,CABLE BEAD WIRE
RFG55,"1x5.0+(10+16+22+28+33)x2.2
"
RFG44A,CABLE BEAD WIRE
RFG44,"1x5.0+(10+16+22+28)x2.0
"
RFG43A,CABLE BEAD WIRE
RFG43,"1x5.0+(11+17+23+29)x1.8
"
RFG34A,CABLE BEAD WIRE
RFG33A,CABLE BEAD WIRE
RFG33,"1x5.0+(11+17+23)x1.8
"
RFG23A,CABLE BEAD WIRE
RFG51R,1550 DECITEX RAYON
RFEYMN337,"940  DECITEX NYLON 6,6"
RFE33A,CABLE BEAD WIRE
RFE33,CABLE BEAD WIRE
RFE25A,CABLE BEAD WIRE
RFE25,"1x3.0+(7+13)x2.20mm
"
RFE24A,CABLE BEAD WIRE
RFE24,1x3.0+(7+14)x2.0
RFNV26GA,"NYLON 6,6 2100/1/2  6X8TPI  26EPI  GA"
RFNV22GA,"NYLON 6,6 2100/1/2  6X8TPI  22EPI  GA"
RFNP26JF,"NYLON 6,6  2100/1/2 8 X 8 TPI 26EPI JF"
RFNP23JF,"NYLON 6,6  2100/1/2 8 X 8 TPI 23EPI JF"
RFNP19JF,"NYLON 6,6  2100/1/2 8 X 8 TPI 19EPI JF"
RFNL30GA,"NYLON 6,6 1400/1/2  8X10TPI  30EPI  GA"
RFNL28JF,"NYLON 6,6  1400/1/2 8 X 10 TPI 28EPI JF"
RFNL26JF,"NYLON 6,6  1400/1/2 8 X 10 TPI 26EPI JF"
RFNL23JF,"NYLON 6,6  1400/1/2 8 X 10 TPI 23EPI JF"
RFNL23GF,"NYLON 6,6 1400/1/2  8X10TPI  23EPI  GF"
RFNJ33JF,"NYLON 6,6  940/1/2 10 X 12 TPI 33EPI JF"
RFNJ33JA,"NYLON 6,6  940/1/2 10x12 TPI 33EPI JA"
RFNJ33GA,"NYLON 6,6 940/1/2  10X12TPI  33EPI  GA"
RFNJ27JF,"NYLON 6,6  940/1/2 10 X 12 TPI 27EPI JF"
RFNJ21JF,"NYLON 6,6  940/1/2 10 X 12 TPI 21EPI JF"
RFNJ16QF,"NYLON 6,6  940/1/2 10 X 12 TPI 16EPI QF"
RFJF30JA,"NYLON 6,6  1400/1/2 10 X 10 TPI 30EPI JA"
RFJF23JA,"NYLON 6,6  1400/1/2 10 X 10 TPI 23EPI JA"
RFJF18JA,"NYLON 6,6  1400/1/2 10 X 10 TPI 18EPI JA"
RFJ37N,"940 DECITEX NYLON 6,6"
RFJ36N,"2100 DECITEX NYLON 6,6"
RFJ35N,"1400 DECITEX NYLON 6,6"
RFLV23JF,NYLON 6 2100/1/2 6 X 8 TPI 23EPI JF
RFLV19JF,NYLON 6 2100/1/2 6 X 8 TPI 19EPI JF
RFLV19JA,NYLON 6 2100/1/2 6 X 8 TPI 19EPI JA
RFNC33JF,"NYLON 6,6  940/1/2 12 X 12 TPI 33EPI JF"
RFNC27JF,"NYLON 6,6  940/1/2 12 X 12 TPI 27EPI JF"
RFLF30JA,NYLON 6  1400/1/2 10 X 10 TPI 30EPI JA
RFLC33JF,NYLON 6 940/1/2 12 X 12 TPI 33EPI JF
RFLC30JA,NYLON 6  940/1/2 12 X 12 TPI 30EPI JA
RFD33A,CABLE BEAD WIRE
RFD33,"1x2.5+(7+13+19)x1.8
"
RFD23A,CABLE BEAD WIRE
RFD23,CABLE BEAD WIRE
RFBS1,"1.10""X.060X.035 STAPLE"
RFBS5,"1.05""X.060X.035 STAPLE"
RFBS4,"1.4""X.060X.035 STAPLE"
RFBS3,"1.3""X.060X.035 STAPLE"
RFAK22YF,ARAMID 1670/1/3  12X10TPI 22EPI YF
RF9479,20'S/1 HWM RAYON
RF9478,12'S/2 COTTON
RF9474,20'S/1 HWM RAYON
RF9469,30'S/1 HWM RAYON
RF9467,20'S/3 COTTON
RF9466,22'S/1 NYLON/COT
RF9446,6'S/3  POLYESTER
RF9445,20'S/1 NYL/COT
RF539Q,1100 DECITEX AA-HMLS POLYESTER
RF149N,"2100 DECITEX NYLON 6,6"
RF119N,"940 DECITEX NYLON 6,6"
RFI06RY28SL,na
RFQV28,AA HMLS POLYESTER 1670/1/2 8.5x8.5 TPI 28EPI
RFZ08T,"2100 Decitex Nylon 6,6"
RFZ08L,"2100 Decitex Nylon 6,6"
RFZ09L,"1400 Decitex Nylon 6,6"
RFZ09J,"1400 Decitex (1260 denier) Nylon 6,6"
RFNF18,"Nylon 6,6 1400/1/2 10x10 TPI 18EPI"
RFNC30,"Nylon 6,6 1400/1/2 10x10 TPI 30EPI"
RFNF30,"Nylon 6,6 1400/1/2 10x10 TPI 30EPI"
RFRY28SB,"1840/2, 10.4 x 10.4 TPI, 28 EPI, SB"
RFN10T,1670 DECITEX HMLS POLYESTER
RFP03L,940 DECITEX NYLON 6
RFKARENTEST1,test spec
RF713Z,8000 Decitex Carbon Fiber
RFQ01R,1840 Decitex (1656 denier) Rayon
RF714ZZ,8000/1 Carbon Fiber 60 TPM S- Twist SED
RF714ZS,8000/1 Carbon Fiber 60 TPM Z-Twist SED
RFU02N_2,"1400 DECITEX NYLON 6,6"
RFK26T,1670 DECITEX HMLS POLYESTER
RFQT25YF,"1100/2, 6.5 x 6.5 TPI, 25 EPI, YF"
RFK31T,2200 Decitex HMLS Polyester
RFZ08J,"2100 DECITEX (1890 denier)NYLON 6,6
"
RFK32Q,1670 DECITEX AA HMLS POLYESTER
RFREUTIC,Aqueous dispersion of resorcinol/formaldehyde resin and carbon black
RFN4,"Nominal 235/470 dtex  Nylon 6,6 bead tape"
RFAN20.3YA,tba
RFB10N,"2100 DECITEX, NYLON 6,6"
RFWR,3X3X.175 HT
RFWZ,2+7X.22+1 NT
RF142JH,0.89MM BEAD WIRE - HIGH TENSILE
RF331JH/N,0.89MM BEAD WIRE - HIGH TENSILE
RFFA01WP/N,2+2X.25 NT
RFBF02UW/N,2+2X.295 HT
RFF08Q,2200 DECITEX AA-HMLS POLYESTER
RFNC32MA,"NYLON 6,6  940/1/2 12x12 TPI 32EPI MA"
RFNT20UA,"NYLON 6,6   950/0/1 MONOFILAMENT 20EPI  UA"
RFP101FN/N,4+3x.35 UT
RFS04T,"1100 DECITEX (990 DENIER) HMLS POLYESTER
	"
RFS02T,1670 DECITEX HMLS POLYESTER
RFS04TH28HA,1100 DECITEX HMLS POLYESTER
RFP201FN,4+3x.35 UT
RFP401EM,4X2X.34 HE
RFL17A,"ARAMID 1100 dtex, type 1025 (super endurance)"
RFNB23GA,"NYLON 6,6  1400/2/1  0X3TPI  23EPI  GA"
RFF06Q,1100 DECITEX AA-HMLS POLYESTER
RFQ10R,1840 Decitex Rayon (0 pretwist)
RFFA01WT,2+1X.28 NT
RFBH01FN,4+3x.35 UT
RFS01QC28PF,AA HMLS POLYESTER 1100/1/2 12X12 TPI 28EPI PF
RFV05T,1440 DECITEX (1300 DENIER) NAA-HMLS POLYESTER
RFP401UW,2+2X.295 HT
RFF501EP,7X(3+9+15X.245)+1 HT
RF382JH,0.89MM BEAD WIRE - HIGH TENSILE
RFC17GDZ PILOT,Fiberglass 3300/3 1.5 TPI Z SA Pilot
RFS07T,1440 DECITEX (1300 DENIER) Non-AA HMLS POLYESTER
RF2.00 MM,CABLE BEAD WIRE
RFZ101WP/N,2+2X.25 NT
RFQ10RY28SB/A,"1840/2, 10.4 x 10.4 TPI, 28 EPI, SB"
RFP401FN,4+3x.35 UT
RF371JH,0.89MM BEAD WIRE - HIGH TENSILE
RFL101FQ,3+2x.35 UT
RFPA,12/1 Staple Polyester Bleeder Cord
RFZ102WT,2+1X.28 NT
RFTV28HA,"HMLS POLYESTER 1670/1/2 8.5X8.5TPI, 28EPI HA"
RFI06RY28SL/A,1840/2 10.4/10.4 TPI 28 EPI SL
RFPB,12/2 Polyester Bleeder Cord
RFC17GAS,Fiberglass 3300/1 1.5 TPI S SA
RFC17GAZ,Fiberglass 3300/1 1.5 TPI Z SA
RFC17GBS,Fiberglass 3300/2 1.5 TPI S SA
RFC17GBZ,Fiberglass 3300/2 1.5 TPI Z SA
RF1.80 MM,CABLE BEAD WIRE
RF2.20 MM,CABLE BEAD WIRE
RFK2B,"1x1.2+(6)x0.96+(11)x1.2
"
RFF301FN,4+3x.35 UT
RF9486,Ne24's (NM40.6) Cotton
RF9482,Ne18's Cotton
RF9485,Ne26.6's (NM45) cotton
RF9497,Ne26.6's (NM45) High Elongation Weft Yarn
RFV04L,2100 DECITEX (1890 denier)NYLON 6
RF8498,Ne24's (NM40.6 High Elongation Weft Yarn
RF9498,Ne24's (NM40.6) High Elongation Weft Yarn
RFAH01SL,1100x2dtex - 550/550tpm ex Teijin Aramid/Teijin Aramid
RFS06T,2200 DECITEX HMLS POLYESTER
RFK32T,1440 Decitex (1300 Denier) HMLS PET Yarn - HSP-40 from Hyosung Ulsan
RFY101UN,3+9+15X.22+1X.15 NT
RFB11Q,1670 DECITEX (1503 denier) AA HMLS POLYESTER
RFNC35,"NYLON 6,6 940/2 12X12 TPI, 35 EPI"
RF246JH,0.89MM BEAD WIRE - HIGH TENSILE
RFC17GDZ,Fiberglass 3300/3 1.5 TPI Z SA
RFL18A,1880 DTEX ARAMID
RF9484,Nm20/3 Cotton
RFAW01SO,1680x3dtex - 240/240tpm ex Teijin Aramid/Teijin Aramid
RFBCX1SH,NYLON66 NT219 - 2100x2dtex -77.5 epd- 300/300tpm ex Nexis Fibers/Textilcord
RFL01ABR2SH,1680x2dtex-60epd-340/340tpm
RFABR2SH,Aramid 1680x2dtex-60epd-340/340 tpm
RFNGI7SH,"Nylon 66 1400/1/2, 6x6 TPI, 26.7, SH"
RFBSB1SG,"NYLON 6,6 1400/2, 9.3x9.1 TPI, 22.1 EPI, SG"
RFAVT8ST,DSU852 1680x2dtex 70epd 550/550tpm
RFRUC6SC,"RAYON 2440/1/2, 11x11 TPI, 23.6 EPI, SC"
RFU09TM26HF/B,HMLS POLYESTER 2200/1/2 8.5X8.5 TPI 26EPI HF
RFBF02WL,2X.295 HT
RFP101FN,4+3x.35 UT
RFFA01WL,2X.295 HT
RFAW01SL,"Aramid,1680/1/3"
RF245JH,0.89MM BEAD WIRE - HIGH TENSILE
RFC17G,Fiberglass 3300 Decitex
RFC17GAZ PILOT,Fiberglass 3300/1 1.5 TPI Z SA Pilot
RF9470,"6's/1 Spun Polyester, Lightly Waxed"
RFBCD4SH,NYLON66 NT220 - 2100x2dtex - 98epd - 300/300tpm ex Nexis Fibers/Textilcord
RFZ11TU32HF,"HMLS POLYESTER 1440/1/2, 9X9TPI, 32EPI HF"
RFZ04TC28HF,HMLS POLYESTER  1100/1/2 12 X 12 TPI 28EPI HF
RFLJ27GA,NYLON 6 940/2 10X12TPI 27EPI GA
RFBA01FN/N,4+3x.35 UT
RFD201FN,4+3x.35 UT
RFU09T,2200 DECITEX (2000 DENIER) NAA HMLS PET
RFC17GDS,Fiberglass 3300/3 1.5 TPI S SA
RFS01Q,1100 DECITEX AA HMLS POLYESTER
RFZ102UW,2+2X.295 HT
RF022JH,0.89MM BEAD WIRE - HIGH TENSILE
RFS02Q,1440 DECITEX (1300 DENIER) AA HMLS POLYESTER
RFQ10RY28SH/A,"1840/2, 10.4 x 10.4 TPI, 28 EPI, SH"
RFZ11T,1440 Decitex (1300 denier) NAA-HMLS PET
RFC17GBZ PILOT,Fiberglass 3300/2 1.5 TPI Z SA Pilot
RFS01N,"940 DECITEX NYLON 6,6"
RFDFGFDG,Dipped fabric
RF192BH,1.295MM BEAD WIRE - HIGH TENSILE
RFE09A,ARAMID 1670 dtex
RFBH01UG,1X.20/18X.175 ST
RFS04TC28HF,HMLS POLYESTER  1100/1/2 12 X 12 TPI 28EPI HF
RFY101US,3+2X.35 ST
RFY101UH,3X.265/9X.245+1 HT
RFBL01FN,4+3x.35 UT
RF9471,"22's/1 Thermax(polyester), Lightly Waxed"
RFH09L,2100 Decitex Nylon 6
RF9495,NYLON 6 LYCRA SQUARE WOVEN
RFP101FP,1x.21/18x.185 UT
RFQ11N,	1400 Decitex (1260 denier) Nylon 66
RF715G,3300 Decitex Fiberglass
RFL24,1x10.4+(18+25) x 2.0
RFBH01UF,3x7x.175 HE
RFTEST,this is a test
RF9473,"20's/1 High wet modulus Rayon, Waxed"
RF091JH,0.89MM BEAD WIRE - HIGH TENSILE
RFBL01WA,7X7X.25+1 HT
RFBL01WM,7X19X20+1X15HT
RFBH01FS,3x3x.170 NT
RFI16L,1400 DECITEX NYLON 6
RFBL01UU,1X.22/18X.20 ST WIRE
RF246CH,1.83MM BEAD WIRE - HIGH TENSILE
RFS04Q,1670 DECITEX AA-HMLS POLYESTER
RFK33A,1670 Decitex Aramid
RFBA19SG,NYLON66 NK202 - 1880x2dtex - 75epd - 320/320tpm ex Kordsa/Kordsa
RFG52R,1840 Decitex (1650 denier) Rayon
RFC401WP,2+2X.25 NT
RFY201WP,2+2X.25 NT
RFKAREN,test
RFZ10N,"1880 DECITEX (1692 denier) NYLON 6,6.  DUNLOP ONLY"
RFC401UW,2+2X.295 HT
RFD201FQ,3+2x.35 UT
RFQ09R,Rayon 1220 dtex
RFK34P,2200dtex non-AA HMULS Polyester
RF9480,"12's/1 High wet modulus Rayon, Unwaxed"
RFZ102WP,2+2X.25 NT
RFZ103WT,2+1X.28 NT
RFLBRF006,TRC W/ECID006
RFBA01FQ,3+2x.35 UT
RFP201FQ,3+2x.35 UT
RFBAX1SG,NYLON66 NK202 - 1880x2dtex - 75epd - 320/320tpm ex Kordsa/Kordsa
RFLP26,NYLON 6 2100/2 8x8 TPI 26 EPI
RFC101WL REV01,2X.295 HT
RF9489,Fiberglass/Cotton Wrap
RF145JH,0.89MM BEAD WIRE - HIGH TENSILE
RFLBRF007,STRC W/ECID009
RFAH01SO,ARAMID SED CORD - 1100x2dtex - 550/550tpm ex Teijin Aramid/Teijin Aramid
RFBL01UG,1X.20/18X.175 ST
RFU05L,2100dtex nylon6 yarn (see SIS for complete spec)
RFK28QU32PF,AA HMLS POLYESTER 1440/1/2 9 X 9 TPI 32EPI PF
RFC101FQ,3+2x.35 UT
RFP401EE,5/8/14X.265+1ST
RFYM26PF,"need one from the SIS spec, when it is in sis"
RFBL01ES,(0.40+6X.365)+6X(.365+6X.35) ST
RFK35Y,"2200 dtex, AA HMULS Polyester"
RFS101FQ,3+2x.35 UT
RFS02N,"1400 DECITEX NYLON 6,6"
RF028CH,1.83MM BEAD WIRE - HIGH TENSILE
RFZ201UW,2+2X.295 HT
RFRY28SC,RY28
RFZ201WT,2+1X.28 NT
RFZ01B,1400 Decitex (1260 denier) Nylon 66
RFU07LF29SD,"NYLON 6, 1400/2, 10x10 TPI, 29 EPI, SD"
RFU07LF23SD,"NYLON 6, 1400/2, 10x10 TPI, 23 EPI, SD"
RFTC35HF,"NAA-HMLS PET, 1100/2, 12X12 TPI, 35 EPI, HF"
RFZ02BI30GF,"NYLON 6,6 940/1 0X4.6S TPI 30EPI GF"
