,PGM_ID,HSE_ID,HSE_MEASURE_ID,TABLE_CODE,CODE_DESC,CODE,MEASURE_CMNTS
213,4404,2221,91,TSCA,TSCA Certificate,TSCA,
214,4404,2221,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
215,4404,2221,109,CEPA,Canadian Environmental Protection Act,,
216,4404,2221,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
217,4404,2221,111,ELINCS,European REACH,CEPAN,
218,4404,2221,112,AICS,Australian Inventory of chemical Substances,ELINCS,
219,4404,2221,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
220,4404,2221,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
221,4404,2221,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
222,4404,2221,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
223,761,207,90,MSDS,MSDS Requirement,MSDS,
224,761,207,91,TSCA,TSCA Certificate,TSCA,
225,761,207,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
226,761,207,109,CEPA,Canadian Environmental Protection Act,,
227,761,207,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
228,761,207,111,ELINCS,European REACH,CEPAN,
229,761,207,112,AICS,Australian Inventory of chemical Substances,ELINCS,
230,761,207,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
231,761,207,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
232,761,207,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
233,761,207,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
234,761,207,117,NZTSD,New Zealand Toxic Substances Database,,
235,827,227,90,MSDS,MSDS Requirement,MSDS,
236,827,227,91,TSCA,TSCA Certificate,TSCA,
237,827,227,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
238,827,227,109,CEPA,Canadian Environmental Protection Act,,
239,827,227,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
240,827,227,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
241,827,227,112,AICS,Australian Inventory of chemical Substances,ELINCS,
242,827,227,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
243,827,227,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
244,827,227,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
245,827,227,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
246,827,227,117,NZTSD,New Zealand Toxic Substances Database,,
247,887,310,90,MSDS,MSDS Requirement,MSDS,
248,887,310,91,TSCA,TSCA Certificate,TSCA,
249,887,310,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
250,887,310,109,CEPA,Canadian Environmental Protection Act,,
251,887,310,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
252,887,310,111,ELINCS,European REACH,CEPAN,
253,887,310,112,AICS,Australian Inventory of chemical Substances,ELINCS,
254,887,310,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
255,887,310,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
256,887,310,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
257,887,310,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
258,887,310,117,NZTSD,New Zealand Toxic Substances Database,,
259,888,314,90,MSDS,MSDS Requirement,MSDS,
260,888,314,91,TSCA,TSCA Certificate,TSCA,
261,888,314,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
262,888,314,109,CEPA,Canadian Environmental Protection Act,,
263,888,314,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
264,888,314,111,ELINCS,European REACH,CEPAN,
265,888,314,112,AICS,Australian Inventory of chemical Substances,ELINCS,
266,888,314,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
267,888,314,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
268,888,314,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
269,888,314,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
270,888,314,117,NZTSD,New Zealand Toxic Substances Database,,
271,961,321,90,MSDS,MSDS Requirement,MSDS,
272,961,321,91,TSCA,TSCA Certificate,TSCA,
273,961,321,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
274,961,321,109,CEPA,Canadian Environmental Protection Act,,
275,961,321,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
276,961,321,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
277,961,321,112,AICS,Australian Inventory of chemical Substances,ELINCS,
278,961,321,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
279,961,321,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
280,961,321,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
281,961,321,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
282,961,321,117,NZTSD,New Zealand Toxic Substances Database,,
283,1002,361,90,MSDS,MSDS Requirement,MSDS,
284,1002,361,91,TSCA,TSCA Certificate,TSCA,
285,1002,361,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
286,1002,361,109,CEPA,Canadian Environmental Protection Act,,
287,1002,361,110,EINECS,European Inventory of Existing Commercial Chemical,CEPAD,
288,1002,361,111,ELINCS,European REACH,CEPAN,ELINCS not REACH: 
289,1002,361,112,AICS,Australian Inventory of chemical Substances,ELINCS,
290,1002,361,113,ENCS,Japanese Existing and New Chemical substances,EINECS,
291,1002,361,114,ECL,Korean Existing Chemicals Inventory,KKDIK,
292,1002,361,115,PICCS,Philippine Inventory of Chemicals and Chemic,SERB,
293,1002,361,116,CLECS,Chinese List of Existing Chemical substances,SOAF,
294,1002,361,117,NZTSD,New Zealand Toxic Substances Database,,
295,4404,2221,117,NZTSD,New Zealand Toxic Substances Database,,
296,1001,363,90,MSDS,MSDS Requirement,MSDS,
297,1001,363,91,TSCA,TSCA Certificate,TSCA,
298,1001,363,108,TSCASEC,"TSCA Sections 4,5,6,7,8 or 12 ",,
299,1001,363,109,CEPA,Canadian Environmental Protection Act,,
