AP_PGM_ID,PGM_ID,REGION_ID,REGION_NAME,GY_PLANT_ID,PROH_PLANT_NAME
7178,12967,3.0,EMEA,,
7178,12967,4.0,AP,,
7185,12973,1.0,NA,,
7185,12973,2.0,LA,,
7185,12973,4.0,AP,,
7187,12975,1.0,NA,,
7187,12975,2.0,LA,,
7187,12975,3.0,EMEA,,
7187,12975,4.0,AP,,
7222,13001,1.0,NA,,
7222,13001,2.0,LA,,
7222,13001,3.0,EMEA,,
7222,13001,4.0,AP,,
7294,13065,1.0,NA,,
7294,13065,2.0,LA,,
7300,13070,1.0,NA,56.0,Chem Beaumont
7314,13078,3.0,EMEA,27.0,South Africa
7315,13079,3.0,EMEA,28.0,Wolverhampton
7316,13080,3.0,EMEA,28.0,Wolverhampton
7318,13082,,,,
7331,13091,4.0,AP,,
7333,13092,1.0,NA,,
7346,13102,1.0,NA,,
7351,13105,,,,
7359,13111,,,,
7362,13113,1.0,NA,,
7362,13113,2.0,LA,,
7362,13113,3.0,EMEA,,
7362,13113,4.0,AP,,
7369,13119,1.0,NA,,
7369,13119,2.0,LA,,
7369,13119,3.0,EMEA,,
7369,13119,4.0,AP,,
7373,13121,1.0,NA,,
7373,13121,2.0,LA,,
7373,13121,3.0,EMEA,,
7373,13121,4.0,AP,,
7375,13122,1.0,NA,,
7375,13122,2.0,LA,,
7375,13122,3.0,EMEA,,
7375,13122,4.0,AP,,
7391,13133,1.0,NA,,
7391,13133,2.0,LA,,
7391,13133,3.0,EMEA,,
7391,13133,4.0,AP,,
7393,13134,3.0,EMEA,,
7395,13135,1.0,NA,,
7395,13135,2.0,LA,,
7395,13135,3.0,EMEA,,
7395,13135,4.0,AP,,
7397,13136,1.0,NA,,
7424,13155,1.0,NA,,
7425,13156,1.0,NA,,
7425,13156,2.0,LA,,
7432,13161,1.0,NA,,
7432,13161,2.0,LA,,
7432,13161,3.0,EMEA,,
7432,13161,4.0,AP,,
7433,13162,3.0,EMEA,,
7452,13174,1.0,NA,,
7452,13174,2.0,LA,,
7452,13174,4.0,AP,,
7456,13177,1.0,NA,,
7488,13203,1.0,NA,,
7497,13210,3.0,EMEA,,
7505,13217,1.0,NA,,
7505,13217,2.0,LA,,
7505,13217,3.0,EMEA,,
7505,13217,4.0,AP,,
7509,13221,2.0,LA,36.0,Venezuela
7513,13224,1.0,NA,,
7513,13224,2.0,LA,,
7513,13224,3.0,EMEA,,
7513,13224,4.0,AP,,
7520,13230,3.0,EMEA,19.0,Philippsburg
7521,13231,3.0,EMEA,24.0,Sava
7527,13234,1.0,NA,,
7527,13234,2.0,LA,,
7527,13234,3.0,EMEA,,
7527,13234,4.0,AP,,
7285,13056,1.0,NA,,
7285,13056,2.0,LA,,
7285,13056,3.0,EMEA,,
7285,13056,4.0,AP,,
7293,13064,1.0,NA,,
7293,13064,2.0,LA,,
7293,13064,3.0,EMEA,,
7293,13064,4.0,AP,,
7295,13066,1.0,NA,,
7295,13066,2.0,LA,,
7295,13066,3.0,EMEA,,
7295,13066,4.0,AP,,
7305,13073,3.0,EMEA,,
7335,13094,1.0,NA,,
7335,13094,2.0,LA,,
7335,13094,3.0,EMEA,,
7335,13094,4.0,AP,,
7337,13096,1.0,NA,,
7337,13096,2.0,LA,,
7337,13096,3.0,EMEA,,
7337,13096,4.0,AP,,
7363,13114,1.0,NA,,
