MATERIAL_GROUP,REVISION_NO,MATERIAL_CODE,MATERIAL_DESC,IS_ACTIVE,SUPPLIER_NAME,PLANT_NAME,CITY,STATE,COUNTRY_NAME,TRADENAME,A_NAME,A_PLANT_NAME,A_CITY,A_STATE,A_COUNTRY_NAME,AGENT_BUILD_BREAK,EXP_CODE,APPROVAL_PROCESS_NAME,CONSOLIDATED_EX_CODE,PGM_ID,PGM_REASON,REQUESTED_BY,ASSIGNED_TO,SUP_STATUS,AGENT_STATUS,SOS_APPROVAL_REGION,APPROVAL_PLANTS,AGENT_APPROVAL_REGION,AGENT_APPROVAL_PLANTS,RESTRICTED_PLANTS
RAW MATERIAL,2,CODE28,CORN STARCH,N,AMERICAN MAIZE,"Hammond, IN, USA",Hammond,IN,USA,POWDERED CORN STARCH,BRADY HAWK,UNSPECIFIED,,Others,Others,,,,CODE28,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,2,CODE28,CORN STARCH,N,AE STALEY,UNSPECIFIED,,Others,Others,REDRIED CORN STARCH,,,,,,,,,CODE28,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,3,CODE56,ALUMINUM VARNISH POWDER,N,REYNOLDS METAL,"Richmond, VA, USA",Richmond,VA,USA,3XD ALUMINUM POWDER,HL GRUND,UNSPECIFIED,,Others,Others,,,,CODE56,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,3,CODE56,ALUMINUM VARNISH POWDER,N,CAN BRONZE POWDER,UNSPECIFIED,,Others,Others,2759 LUXOR AL BRONZE RUBBER PWDR,,,,,,,,,CODE56,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,3,CODE56,ALUMINUM VARNISH POWDER,N,ALCOA INDUSTRIAL CHEMICAL,"Vidalia, LA, USA",Vidalia,LA,USA,ALCOA NO. 322,OHIO SOLVENTS AND CHEMICAL,UNSPECIFIED,,Others,Others,,,,CODE56,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,3,CODE56,ALUMINUM VARNISH POWDER,N,ALCO CHEMICAL,"Chattanooga, TN, USA",Chattanooga,TN,USA,ALCOA NO. 322,FT WIMBLE,Australia,,Others,Australia,,,,CODE56,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,17,CODE65,ASTM N990 MEDIUM THERMAL FURNACE BLACK,N,EVONIK,Borger,Borger,TX,USA,CORAX N 990,,,,,,,,,CODE65,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,17,CODE65,ASTM N990 MEDIUM THERMAL FURNACE BLACK,N,CANCARB,Medicine Hat - Alberta,Medicine Hat - Alberta,Others,Canada,THERMAX N990,ROBERT BRYCE,NEW ZEALAND,,Others,New Zealand,,,,CODE65,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,17,CODE65,ASTM N990 MEDIUM THERMAL FURNACE BLACK,N,CANCARB,Medicine Hat - Alberta,Medicine Hat - Alberta,Others,Canada,THERMAX N990,UNIVAR,"Weston, ON, Canada",Weston,ON,Canada,,,,CODE65,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,17,CODE65,ASTM N990 MEDIUM THERMAL FURNACE BLACK,N,CANCARB,Medicine Hat - Alberta,Medicine Hat - Alberta,Others,Canada,THERMAX N990,ENGINEERED CARBONS,UNSPECIFIED,,Others,Others,,,,CODE65,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,17,CODE65,ASTM N990 MEDIUM THERMAL FURNACE BLACK,N,CANCARB,Medicine Hat - Alberta,Medicine Hat - Alberta,Others,Canada,THERMAX N990,VANDERBILT Chemicals,,,,,,,,CODE65,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,OLEOFINA,UNSPECIFIED,,Others,Others,RADIASTAR 1170,MINERALS AND CHEMICALS,Canada,,Others,Canada,,,,CODE83,,, , ,N,N,NA,"Medicine Hat, Napanee, Valleyfield",NA,"Medicine Hat, Napanee, Valleyfield","Medicine Hat, Napanee, Valleyfield"
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,OLEOFINA,UNSPECIFIED,,Others,Others,RADIASTAR 1170,MALMSTEN AND BERGVALL,SWEDEN,,Others,Sweden,,,,CODE83,,, , ,N,N,NA,"Medicine Hat, Napanee, Valleyfield","AP, EMEA, LA, NA",,"Medicine Hat, Napanee, Valleyfield"
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,SI GROUP,Shanghai,Shanghai,Others,China,ZINC STEARATE,"ATOFINA, UK",UNSPECIFIED,,Others,Others,,,,CODE83,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,SI GROUP,Shanghai,Shanghai,Others,China,ZINC STEARATE,ELF ATOCHEM,UNSPECIFIED,,Others,Others,,,,CODE83,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,OLEOFINA,"Oelegen, Belgium",Oelegen,Others,Belgium,RADIASTAR 1170,,,,,,,,,CODE83,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,LESTAR QUIMICA,Buenos Aires,Buenos Aires,Others,Argentina,ESTEARATE DE ZINC \"S\",,,,,,,,,CODE83,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,HULS,New Jersey,New Jersey,NJ,USA,NUODEX S1200,HB CHEMICAL,Cuyahoga Falls,Cuyahoga Falls,OH,USA,,,,CODE83,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,FERRO,"Cleveland, OH, USA",Cleveland,OH,USA,SYNPRO ZINC STEARATE D,J DRASNER,UNSPECIFIED,,Others,Others,,,,CODE83,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,FERRO,"Cleveland, OH, USA",Cleveland,OH,USA,SYNPRO ZINC STEARATE D,HARWICK STANDARD,Calhoun,Calhoun,GA,USA,,,,CODE83,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,CSR CHEMICAL,"Sydney, NSW, Australia",Sydney,NSW,Australia,UNSPECIFIED,,,,,,,,,CODE83,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,CHEMTURA (CROMPTON),UNSPECIFIED,,Others,Others,TECH ZINC STEARATE,,,,,,,,,CODE83,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,BORTH,VENEZUELA,,Others,Venezuela,ESTEARATO DE ZINC,,,,,,,,,CODE83,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,CODE83,ZINC STEARATE,N,ARCHEM,"FARIDABAD, INDIA",FARIDABAD,Others,India,ZINC STEARATE,,,,,,,,,CODE83,,, , ,N,,"AP, EMEA, LA, NA",,,,
RAW MATERIAL,4,CODE83-C,ZINC STEARATE,N,MALLINCKRODT CHEM WORKS,"Malton, ON, Canada",Malton,ON,Canada,2769,,,,,,,,,CODE83-C,,, , ,N,,NA,"N509 - Med Hat, N510 - Napanee, N511 - Valleyfield",,,"Medicine Hat, Napanee, Valleyfield"
RAW MATERIAL,4,CODE83-C,ZINC STEARATE,N,CHEMTURA (CROMPTON),Canada,,Others,Canada,ZINC STEARATE,,,,,,,,,CODE83-C,,, , ,N,,NA,"N509 - Med Hat, N510 - Napanee, N511 - Valleyfield",,,"Medicine Hat, Napanee, Valleyfield"
RAW MATERIAL,4,CODE83-C,ZINC STEARATE,N,VERESIT SACI,"FL, USA",,FL,USA,ESTEARATE DE ZINC \"S\",JR TUNICA SAIC,UNSPECIFIED,,Others,Others,,,,CODE83-C,,, , ,N,N,"AP, EMEA, LA, NA",,"AP, EMEA, LA, NA",,
