,AP_PGM_ID,PGM_ID,REGION_FOR_SOS_APPROVAL,PROH_PLANT_NAME
892,1481,1481,LA,
893,1481,1481,EMEA,
894,1481,1481,AP,
895,1562,1562,,
896,1622,1622,NA,
897,1644,1644,NA,Chem Bayport
898,1844,1844,EMEA,
899,1861,1861,EMEA,
900,1983,1983,,
901,1985,1985,,
902,2008,2008,NA,
903,2011,2011,NA,
904,2011,2011,LA,
905,2011,2011,EMEA,
906,2011,2011,AP,
907,2014,2014,NA,
908,2103,2103,NA,
909,2103,2103,LA,
910,2103,2103,EMEA,
911,2103,2103,AP,
912,2142,2142,NA,
913,2142,2142,LA,
914,2142,2142,EMEA,
915,2142,2142,AP,
916,2143,2143,NA,
917,2163,2163,NA,
918,2163,2163,LA,
919,2163,2163,EMEA,
920,2163,2163,AP,
921,2209,2209,NA,
922,2209,2209,LA,
923,2209,2209,EMEA,
924,2209,2209,AP,
925,2266,2266,NA,
926,2266,2266,LA,
927,2266,2266,EMEA,
928,2266,2266,AP,
929,2270,2270,NA,
930,2270,2270,LA,
931,2270,2270,EMEA,
932,2270,2270,AP,
933,821,821,NA,
934,821,821,LA,
935,821,821,EMEA,
936,821,821,AP,
937,822,822,NA,
938,822,822,LA,
939,822,822,EMEA,
940,822,822,AP,
941,823,823,NA,
942,823,823,LA,
943,823,823,EMEA,
944,823,823,AP,
945,901,901,NA,
946,901,901,LA,
947,901,901,EMEA,
948,901,901,AP,
949,905,905,NA,
950,905,905,LA,
951,905,905,EMEA,
952,905,905,AP,
953,943,943,AP,
954,946,946,NA,
955,946,946,LA,
956,946,946,EMEA,
957,946,946,AP,
958,961,961,NA,
959,961,961,LA,
960,961,961,EMEA,
961,961,961,AP,
962,1004,1004,NA,
963,1021,1021,,
964,1063,1063,NA,
965,1121,1121,NA,
966,1121,1121,LA,
967,1121,1121,EMEA,
968,1121,1121,AP,
969,1181,1181,,
970,1202,1202,EMEA,
971,1243,1243,NA,
972,1243,1243,LA,
973,1243,1243,EMEA,
974,1243,1243,AP,
975,1264,1264,NA,
976,1264,1264,LA,
977,1264,1264,EMEA,
978,1264,1264,AP,
979,1381,1381,EMEA,
980,1463,1463,NA,
981,1468,1468,NA,
982,1469,1469,NA,
983,1469,1469,LA,
984,1469,1469,EMEA,
985,1469,1469,AP,
986,1470,1470,,
987,1507,1507,NA,
988,1507,1507,LA,
989,1507,1507,EMEA,
990,1507,1507,AP,
991,1513,1513,NA,
992,1744,1744,NA,
993,1744,1744,LA,
994,1744,1744,EMEA,
995,1744,1744,AP,
996,1761,1761,EMEA,
997,1781,1781,EMEA,
998,1841,1841,EMEA,
999,1842,1842,EMEA,Debica
1000,1843,1843,EMEA,
1001,1868,1868,EMEA,Debica
1002,1942,1942,NA,
1003,1943,1943,NA,
1004,1945,1945,NA,
1005,1947,1947,NA,
1006,2062,2062,NA,
1007,2101,2101,,
1008,2122,2122,EMEA,
1009,2204,2204,NA,
1010,2204,2204,LA,
1011,2204,2204,EMEA,
1012,2204,2204,AP,
1013,2221,2221,LA,Peru
1014,2261,2261,NA,
1015,2261,2261,LA,
1016,2261,2261,EMEA,
1017,2261,2261,AP,
1018,2271,2271,,
1019,2275,2275,EMEA,
1020,801,801,EMEA,
1021,804,804,NA,
1022,804,804,LA,
1023,804,804,EMEA,
1024,804,804,AP,
1025,825,825,NA,
1026,825,825,LA,
1027,825,825,EMEA,
1028,825,825,AP,
1029,826,826,NA,
1030,826,826,LA,
1031,826,826,EMEA,
1032,863,863,NA,
1033,863,863,LA,
1034,863,863,EMEA,
1035,863,863,AP,
1036,865,865,NA,
1037,865,865,LA,
1038,865,865,EMEA,
1039,865,865,AP,
1040,881,881,NA,
1041,881,881,LA,
1042,881,881,EMEA,
1043,881,881,AP,
1044,882,882,NA,
1045,882,882,LA,
1046,882,882,EMEA,
1047,882,882,AP,
1048,886,886,,
1049,887,887,,
1050,981,981,NA,
1051,981,981,LA,
1052,981,981,EMEA,
1053,981,981,AP,
1054,1023,1023,NA,
1055,1023,1023,LA,
1056,1023,1023,EMEA,
1057,1023,1023,AP,
1058,1056,1056,NA,
1059,1141,1141,NA,
