PGM_ID,ATTACHMENT_ID,FILE_PATH,CYCLE_ID,SCREEN_SECTION_ID,SCREEN_SECTION,ATT_URL_FLAG
18165,58993,/ttspool/mis/1358801915810_Mosellic_Oil Extended_SBR Polymer_G1623.pdf,11781,170,On clicking of 'Submit Button',F
18165,58994,/ttspool/mis/1358801915811_Mosellic DOE Polymer Studies.xlsx,11781,170,On clicking of 'Submit Button',F
13702,36761,Notes://AHQNA401/8525784E00549527/0686A0FF083CA050C125662E006810F4/8525784E00549527852578CC006695DA,11781,1002,on click of 'Send Mail Button' available in Auth to trial (NS-RAW),U
13702,36762,Notes://AHQNA401/8525784E00549527/0686A0FF083CA050C125662E006810F4/8525784E00549527852578CD004645FD,11781,1002,on click of 'Send Mail Button' available in Auth to trial (NS-RAW),U
13702,36763,Notes://AHQNA401/8525784E00549527/0686A0FF083CA050C125662E006810F4/8525784E00549527852578CD004776C9,11781,1002,on click of 'Send Mail Button' available in Auth to trial (NS-RAW),U
13702,43841,Notes://AHQNA401/8525784E00549527/0686A0FF083CA050C125662E006810F4/8525784E005495278525790C0062B8AB,11781,1002,on click of 'Send Mail Button' available in Auth to trial (NS-RAW),U
18166,59001,/ttspool/mis/1358802083700_Mosellic_Oil Extended_SBR Polymer_G1623.pdf,11783,170,On clicking of 'Submit Button',F
18166,59002,/ttspool/mis/1358802083701_Mosellic DOE Polymer Studies.xlsx,11783,170,On clicking of 'Submit Button',F
18167,59042,/ttspool/mis/1358863804505_MSDS F3440.pdf,11785,170,On clicking of 'Submit Button',F
18168,59043,/ttspool/mis/1358864095874_MSDS FHSV-02.pdf,11786,170,On clicking of 'Submit Button',F
18169,59044,/ttspool/mis/1358864376001_MSDS L238 L244 L245.pdf,11787,170,On clicking of 'Submit Button',F
18170,59061,/ttspool/mis/1358864530492_MSDS L238 L244 L245.pdf,11788,170,On clicking of 'Submit Button',F
18171,59081,/ttspool/mis/1358866248569_MSDS Buna VSL VP PBR 4057.pdf,11789,170,On clicking of 'Submit Button',F
18172,59082,/ttspool/mis/1358866588009_MSDS Buna VSL VP PBR 4060.pdf,11790,170,On clicking of 'Submit Button',F
18173,59086,/ttspool/mis/1358875175835_Polymer_Studies - 10770-325.xls,11791,170,On clicking of 'Submit Button',F
18173,59087,/ttspool/mis/1358875175836_CFA-2 SSBR MSDS.pdf,11791,170,On clicking of 'Submit Button',F
18174,59088,/ttspool/mis/1358875478547_CFA-2 SSBR MSDS.pdf,11792,170,On clicking of 'Submit Button',F
18174,59089,/ttspool/mis/1358875478548_Polymer_Studies - 10770-325.xls,11792,170,On clicking of 'Submit Button',F
18175,59090,/ttspool/mis/1358875626284_Polymer_Studies - 10770-325.xls,11793,170,On clicking of 'Submit Button',F
18175,59091,/ttspool/mis/1358875626285_CFA-2 SSBR MSDS.pdf,11793,170,On clicking of 'Submit Button',F
18176,59092,/ttspool/mis/1358875934857_CFA-2 MSDS.pdf,11794,170,On clicking of 'Submit Button',F
18176,59093,/ttspool/mis/1358875934857_Polymer_Studies - 10770-325.xls,11794,170,On clicking of 'Submit Button',F
18178,59096,/ttspool/mis/1358876239733_Polymer_Studies - 10770-325.xls,11796,170,On clicking of 'Submit Button',F
18178,59098,/ttspool/mis/1358876249874_CFA-2 SSBR MSDS.pdf,11796,170,On clicking of 'Submit Button',F
18179,59099,/ttspool/mis/1358876395502_CFA-2 SSBR MSDS.pdf,11797,170,On clicking of 'Submit Button',F
18179,59100,/ttspool/mis/1358876395502_Polymer_Studies - 10770-325.xls,11797,170,On clicking of 'Submit Button',F
18180,59103,/ttspool/mis/1358876539145_CFA-2 SSBR MSDS.pdf,11798,170,On clicking of 'Submit Button',F
18180,59102,/ttspool/mis/1358876539145_Polymer_Studies - 10770-325.xls,11798,170,On clicking of 'Submit Button',F
