PGM_ID,HSE_ID,HSE_MEASURE_ID,CODE,MEASURE_STATUS,PROH_PLANT_NAME,REGION_NAME,MEASURE_CMNTS,CODE_DESC
22,37841,116,ENCS,Y,Montlucon,EMEA,per CIRF,Taiwan Existing and New Chemical Notification
22,37841,203,ISHL,,Montlucon,North America,per CIRF,Canadian Environmental Protection Act NDSL
22,37841,203,ISHL,,Montlucon,LA,per CIRF,Canadian Environmental Protection Act NDSL
22,37841,203,ISHL,,Montlucon,EMEA,per CIRF,Canadian Environmental Protection Act NDSL
22,37841,203,ISHL,,Montlucon,AP,per CIRF,Canadian Environmental Protection Act NDSL
22,37841,204,IECSA,Y,Montlucon,North America,,
22,37841,204,IECSA,Y,Montlucon,EMEA,,
22,37841,204,IECSA,Y,Montlucon,LA,,
22,37841,204,IECSA,Y,Montlucon,AP,,
23,21,90,MSDS,Y,,,,MSDS Requirement
23,21,91,TSCA,Y,,,,TSCA Certificate
23,21,110,CEPAD,Y,,,,European Inventory of Existing Commercial Chemical
23,21,111,CEPAN,Y,,,ELINCS not REACH: ,European REACH
23,21,112,ELINCS,Y,,,,Australian Inventory of chemical Substances
23,21,113,EINECS,Y,,,,Japanese Existing and New Chemical substances
23,21,114,KKDIK,Y,,,,Korean Existing Chemicals Inventory
23,21,116,ENCS,Y,,,,Taiwan Existing and New Chemical Notification
29,3261,90,MSDS,Y,,LA,,MSDS Requirement
29,3261,91,TSCA,Y,,LA,,TSCA Certificate
29,3261,110,CEPAD,Y,,LA,,European Inventory of Existing Commercial Chemical
29,3261,111,CEPAN,N,,LA,ELINCS not REACH: ,European REACH
29,3261,112,ELINCS,Y,,LA,,Australian Inventory of chemical Substances
29,3261,113,EINECS,Y,,LA,,Japanese Existing and New Chemical substances
29,3261,114,KKDIK,Y,,LA,,Korean Existing Chemicals Inventory
29,3261,116,ENCS,Y,,LA,,Taiwan Existing and New Chemical Notification
30,7866,90,MSDS,Y,Chem Beaumont,North America,Updated MSDS from Ratnagiri Chemicals is OK for lab evaluation.  Asked Putinski for updated version. ,MSDS Requirement
30,7866,91,TSCA,Y,Chem Beaumont,North America,,TSCA Certificate
30,7866,110,CEPAD,Y,Chem Beaumont,North America,"Not applicable, as material is to be used only in the U.S.",European Inventory of Existing Commercial Chemical
30,7866,111,CEPAN,U,Chem Beaumont,North America,"Not applicable, as material is to be used only in the U.S.",European REACH
30,7866,112,ELINCS,U,Chem Beaumont,North America,"Not applicable, as material is to be used only in the U.S.",Australian Inventory of chemical Substances
