SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IP_VERSION,IP_SHORT_DESC,IC_ORDER
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,GPS Full Agent Approval Review,,ipFullAgentApprovalInformation,5
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,IND QUIMICAS BORDA CAMPO,UNSPECIFIED,FLAKED CAUSTIC SODA,GPS Full Agent Approval Review,,ipFullAgentApprovalInformation,5
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,COSMOQUIMICA,UNSPECIFIED,FLAKED CAUSTIC SODA,GPS Full Agent Approval Review,,ipFullAgentApprovalInformation,5
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,HERZOG,UNSPECIFIED,FLAKED CAUSTIC SODA,GPS Full Agent Approval Review,,ipFullAgentApprovalInformation,5
RFJOAX_FDC,7,Supplier,AFRICAN EXPLOSIVES AND CHEMICAL,SOUTH AFRICA,SCHAUDER AND SONS,UNSPECIFIED,CAUSTIC SODA FLAKES,GPS Full Agent Approval Review,,ipFullAgentApprovalInformation,5
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,CANADA COLORS,TORONTO,UNSPECIFIED,GPS Full Agent Approval Review,,ipFullAgentApprovalInformation,5
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,NICHOLS CHEMICAL,CANADA,UNSPECIFIED,GPS Full Agent Approval Review,,ipFullAgentApprovalInformation,5
RFJOAX_FDC,7,Supplier,INDUSTRIAS QUIMICAS DEL ISTMO,MEXICO,ESPECIALIDADES,MEXICO,SOSA CAUSTICA EN ECOMAS,GPS Full Agent Approval Review,,ipFullAgentApprovalInformation,5
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C401FP,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,BEKAERT,JIANGYIN,,,028CH,MIS Migrated Data,,ipMISMigration,6
RFRW31SH,1,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,INDORAMA VENTURES MOBILITY,LUXEMBOURG,Q09RW31SH,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,BEKAERT,SLADKOVICOVO,,,027CH,MIS Migrated Data,,ipMISMigration,6
RFQC32PF,1,Supplier,KORDSA,IZMIT,,,Z05QC32PF,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,KISWIRE,CZECH REPUBLIC,,,248CH,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,262CH,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,SHANDONG SNTON,SHANDONG,,,421CH,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,411CH,MIS Migrated Data,,ipMISMigration,6
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,C403FP,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,NATIONAL STANDARD,STILLWATER,,,142CH,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,KISWIRE,NEWBERRY,,,243CH,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,BMZ,MICORD,,,312CH,MIS Migrated Data,,ipMISMigration,6
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,BEKAERT,ROME,,,022CH,MIS Migrated Data,,ipMISMigration,6
RFCH,1,Supplier,KISWIRE,HONG DUK,,,242CH,MIS Migrated Data,,ipMISMigration,6
RFS01Q,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HSP-40,MIS Migrated Data,,ipMISMigration,6
RFE09A,1,Supplier,DUPONT,MAYDOWN,,,950,MIS Migrated Data,,ipMISMigration,6
RFQ09R,1,Supplier,INDORAMA VENTURES MOBILITY,LOVOSICE,,,Rayon 1220 dtex super II,MIS Migrated Data,,ipMISMigration,6
RFS03N,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HND-20,MIS Migrated Data,,ipMISMigration,6
RFFP,1,Supplier,HYOSUNG CORPORATION,EONYANG,,,C101FP,MIS Migrated Data,,ipMISMigration,6
RFTQ26HF,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,TQ26HF,MIS Migrated Data,,ipMISMigration,6
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,MIS Migrated Data,,ipMISMigration,6
RFM14LP19JA,1,Supplier,DURAFIBER,QUERETARO,,,LP19JA,MIS Migrated Data,,ipMISMigration,6
