SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,AU_SHORT_DESC,AU_VERSION,AUSEQ,VALUE
RFCH,1,Supplier,BEKAERT,SLADKOVICOVO,,,027CH,CodeMaskPrefix,,,RF
RFQC32PF,1,Supplier,KORDSA,IZMIT,,,Z05QC32PF,auExpSpecCode,,,GTC3653PF
RFQC32PF,1,Supplier,KORDSA,IZMIT,,,Z05QC32PF,auSpecType,,,Supplier Reinforcement
RFQC32PF,1,Supplier,KORDSA,IZMIT,,,Z05QC32PF,CodeMaskPrefix,,,RF
RFCH,1,Supplier,KISWIRE,CZECH REPUBLIC,,,248CH,auExpSpecCode,,,GL2105
RFCH,1,Supplier,KISWIRE,CZECH REPUBLIC,,,248CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,KISWIRE,CZECH REPUBLIC,,,248CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,262CH,auExpSpecCode,,,W00028
RFCH,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,262CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,262CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,SHANDONG SNTON,SHANDONG,,,421CH,auExpSpecCode,,,GL2102
RFCH,1,Supplier,SHANDONG SNTON,SHANDONG,,,421CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,SHANDONG SNTON,SHANDONG,,,421CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,411CH,auExpSpecCode,,,GL2099
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,411CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,411CH,CodeMaskPrefix,,,RF
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,C403FP,auExpSpecCode,,,S00163
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,C403FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,C403FP,CodeMaskPrefix,,,RF
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,431CH,auExpSpecCode,,,
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,431CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,SHANDONG DAYE CO. LTD,SHANDONG XINXING INDUSTRIAL PARK,,,431CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,KISWIRE,RONGCHENG CITY,,,252CH,auExpSpecCode,,,
RFCH,1,Supplier,KISWIRE,RONGCHENG CITY,,,252CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,KISWIRE,RONGCHENG CITY,,,252CH,CodeMaskPrefix,,,RF
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C402FP,auExpSpecCode,,,
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C402FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,HYOSUNG CORPORATION,DONG NAI - STEELCORD,,,C402FP,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BEKAERT,ITAUNA - BRAZIL (BEAD WIRE),,,029CH,auExpSpecCode,,,
RFCH,1,Supplier,BEKAERT,ITAUNA - BRAZIL (BEAD WIRE),,,029CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BEKAERT,ITAUNA - BRAZIL (BEAD WIRE),,,029CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,KISWIRE,Pine Bluff,,,247CH,auExpSpecCode,,,
RFCH,1,Supplier,KISWIRE,Pine Bluff,,,247CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,KISWIRE,Pine Bluff,,,247CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,KERN,TRINEC - KONSKA,,,391CH,auExpSpecCode,,,
RFCH,1,Supplier,KERN,TRINEC - KONSKA,,,391CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,KERN,TRINEC - KONSKA,,,391CH,CodeMaskPrefix,,,RF
RFLC16SD,1,Supplier,JUNMA,ZHANGJIAGANG,,,U08LC16SD,auExpSpecCode,,,
RFLC16SD,1,Supplier,JUNMA,ZHANGJIAGANG,,,U08LC16SD,auSpecType,,,Supplier Reinforcement
RFLC16SD,1,Supplier,JUNMA,ZHANGJIAGANG,,,U08LC16SD,CodeMaskPrefix,,,RF
RFCH,1,Supplier,KISWIRE,QINGDAO,,,246CH,auExpSpecCode,,,
RFCH,1,Supplier,KISWIRE,QINGDAO,,,246CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,KISWIRE,QINGDAO,,,246CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,NATIONAL STANDARD,STILLWATER,,,142CH,auExpSpecCode,,,
RFCH,1,Supplier,NATIONAL STANDARD,STILLWATER,,,142CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,NATIONAL STANDARD,STILLWATER,,,142CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,KISWIRE,NEWBERRY,,,243CH,auExpSpecCode,,,
RFCH,1,Supplier,KISWIRE,NEWBERRY,,,243CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,KISWIRE,NEWBERRY,,,243CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BMZ,MICORD,,,312CH,auExpSpecCode,,,
RFCH,1,Supplier,BMZ,MICORD,,,312CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BMZ,MICORD,,,312CH,CodeMaskPrefix,,,RF
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,auExpSpecCode,,,
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,auSpecType,,,Supplier Reinforcement
RFNT26QA,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,720NT26QA,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BEKAERT,ROME,,,022CH,auExpSpecCode,,,
RFCH,1,Supplier,BEKAERT,ROME,,,022CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BEKAERT,ROME,,,022CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,auExpSpecCode,,,
RFCH,1,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,KISWIRE,HONG DUK,,,242CH,auExpSpecCode,,,
RFCH,1,Supplier,KISWIRE,HONG DUK,,,242CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,KISWIRE,HONG DUK,,,242CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BEKAERT,IZMIT,,,023CH,auExpSpecCode,,,
RFCH,1,Supplier,BEKAERT,IZMIT,,,023CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BEKAERT,IZMIT,,,023CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BEKAERT,BRAZIL,,,091CH,auExpSpecCode,,,
RFCH,1,Supplier,BEKAERT,BRAZIL,,,091CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BEKAERT,BRAZIL,,,091CH,CodeMaskPrefix,,,RF
RFS01Q,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HSP-40,auExpSpecCode,,,Y00028
RFS01Q,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HSP-40,auSpecType,,,Supplier Reinforcement
RFS01Q,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HSP-40,CodeMaskPrefix,,,RF
RFE09A,1,Supplier,DUPONT,MAYDOWN,,,950,auExpSpecCode,,,GYD3348
RFE09A,1,Supplier,DUPONT,MAYDOWN,,,950,auSpecType,,,Supplier Reinforcement
RFE09A,1,Supplier,DUPONT,MAYDOWN,,,950,CodeMaskPrefix,,,RF
RFQ09R,1,Supplier,INDORAMA VENTURES MOBILITY,LOVOSICE,,,Rayon 1220 dtex super II,auExpSpecCode,,,GYD3401
RFQ09R,1,Supplier,INDORAMA VENTURES MOBILITY,LOVOSICE,,,Rayon 1220 dtex super II,auSpecType,,,Supplier Reinforcement
RFQ09R,1,Supplier,INDORAMA VENTURES MOBILITY,LOVOSICE,,,Rayon 1220 dtex super II,CodeMaskPrefix,,,RF
RFS03N,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HND-20,auExpSpecCode,,,Y00041
RFS03N,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HND-20,auSpecType,,,Supplier Reinforcement
RFS03N,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,HND-20,CodeMaskPrefix,,,RF
RFFP,1,Supplier,HYOSUNG CORPORATION,EONYANG,,,C101FP,auExpSpecCode,,,S00067
RFFP,1,Supplier,HYOSUNG CORPORATION,EONYANG,,,C101FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,HYOSUNG CORPORATION,EONYANG,,,C101FP,CodeMaskPrefix,,,RF
RFTQ26HF,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,TQ26HF,auExpSpecCode,,,V00051
RFTQ26HF,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,TQ26HF,auSpecType,,,Supplier Reinforcement
RFTQ26HF,1,Supplier,HYOSUNG CORPORATION,DECATUR,,,TQ26HF,CodeMaskPrefix,,,RF
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,auExpSpecCode,,,S00095
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,JIAXING EASTERN,TENGZHOU EASTERN STEEL CORD CO. LTD,,,Y201FP,CodeMaskPrefix,,,RF
RFM14LP19JA,1,Supplier,DURAFIBER,QUERETARO,,,LP19JA,auExpSpecCode,,,L00031
RFM14LP19JA,1,Supplier,DURAFIBER,QUERETARO,,,LP19JA,auSpecType,,,Supplier Reinforcement
RFM14LP19JA,1,Supplier,DURAFIBER,QUERETARO,,,LP19JA,CodeMaskPrefix,,,RF
RFZ01NG30GA,1,Supplier,HYOSUNG CORPORATION,LISA,,,G09NG30GA,auExpSpecCode,,,GTC2814GA
RFZ01NG30GA,1,Supplier,HYOSUNG CORPORATION,LISA,,,G09NG30GA,auSpecType,,,Supplier Reinforcement
RFZ01NG30GA,1,Supplier,HYOSUNG CORPORATION,LISA,,,G09NG30GA,CodeMaskPrefix,,,RF
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,auExpSpecCode,,,GL3256
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,auSpecType,,,Supplier Reinforcement
RFFA01WY,1,Supplier,KISWIRE,SZENTGOTTHARD,,,FA01WY,CodeMaskPrefix,,,RF
RFFC01FR,1,Supplier,KISWIRE,MALAYSIA,,,FC01FR,auExpSpecCode,,,S00147
RFFC01FR,1,Supplier,KISWIRE,MALAYSIA,,,FC01FR,auSpecType,,,Supplier Reinforcement
RFFC01FR,1,Supplier,KISWIRE,MALAYSIA,,,FC01FR,CodeMaskPrefix,,,RF
RFTEST1,1,Supplier,GOODYEAR TIRE AND RUBBER,AKRON,,,UNSPECIFIED,auExpSpecCode,,,
RFTEST1,1,Supplier,GOODYEAR TIRE AND RUBBER,AKRON,,,UNSPECIFIED,auSpecType,,,Supplier Reinforcement
RFTEST1,1,Supplier,GOODYEAR TIRE AND RUBBER,AKRON,,,UNSPECIFIED,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,PPG INDUSTRIES,TOLL-ORIENTAL SILICA,,,UNSPECIFIED,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,PPG INDUSTRIES,TOLL-ORIENTAL SILICA,,,UNSPECIFIED,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,PPG INDUSTRIES,TOLL-ORIENTAL SILICA,,,UNSPECIFIED,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,IND QUIMICAS BORDA CAMPO,UNSPECIFIED,FLAKED CAUSTIC SODA,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,IND QUIMICAS BORDA CAMPO,UNSPECIFIED,FLAKED CAUSTIC SODA,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,IND QUIMICAS BORDA CAMPO,UNSPECIFIED,FLAKED CAUSTIC SODA,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,COSMOQUIMICA,UNSPECIFIED,FLAKED CAUSTIC SODA,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,COSMOQUIMICA,UNSPECIFIED,FLAKED CAUSTIC SODA,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,COSMOQUIMICA,UNSPECIFIED,FLAKED CAUSTIC SODA,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,HERZOG,UNSPECIFIED,FLAKED CAUSTIC SODA,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,HERZOG,UNSPECIFIED,FLAKED CAUSTIC SODA,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,INDUSTRIA QUIMICA ELECTRO CLORO,BRAZIL,HERZOG,UNSPECIFIED,FLAKED CAUSTIC SODA,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,DIAMOND SHAMROCK CHEMICAL,UNSPECIFIED,,,UNSPECIFIED,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,DIAMOND SHAMROCK CHEMICAL,UNSPECIFIED,,,UNSPECIFIED,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,DIAMOND SHAMROCK CHEMICAL,UNSPECIFIED,,,UNSPECIFIED,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,AFRICAN EXPLOSIVES AND CHEMICAL,SOUTH AFRICA,SCHAUDER AND SONS,UNSPECIFIED,CAUSTIC SODA FLAKES,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,AFRICAN EXPLOSIVES AND CHEMICAL,SOUTH AFRICA,SCHAUDER AND SONS,UNSPECIFIED,CAUSTIC SODA FLAKES,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,AFRICAN EXPLOSIVES AND CHEMICAL,SOUTH AFRICA,SCHAUDER AND SONS,UNSPECIFIED,CAUSTIC SODA FLAKES,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,CANADA COLORS,TORONTO,UNSPECIFIED,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,CANADA COLORS,TORONTO,UNSPECIFIED,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,CANADA COLORS,TORONTO,UNSPECIFIED,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,NICHOLS CHEMICAL,CANADA,UNSPECIFIED,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,NICHOLS CHEMICAL,CANADA,UNSPECIFIED,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,CANADIAN INDUSTRIES,CANADA,NICHOLS CHEMICAL,CANADA,UNSPECIFIED,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,"ALLIED CHEMICAL, SOLVAY",BRUSSELS,,,UNSPECIFIED,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,"ALLIED CHEMICAL, SOLVAY",BRUSSELS,,,UNSPECIFIED,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,"ALLIED CHEMICAL, SOLVAY",BRUSSELS,,,UNSPECIFIED,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,BILLARPUR,INDIA,,,UNSPECIFIED,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,BILLARPUR,INDIA,,,UNSPECIFIED,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,BILLARPUR,INDIA,,,UNSPECIFIED,CodeMaskPrefix,,,RF
RFU07L,1,Supplier,JUNMA,ZHANGJIAGANG,,,U07L,auExpSpecCode,,,
RFU07L,1,Supplier,JUNMA,ZHANGJIAGANG,,,U07L,auSpecType,,,Supplier Reinforcement
RFU07L,1,Supplier,JUNMA,ZHANGJIAGANG,,,U07L,CodeMaskPrefix,,,RF
RFJOAX_FDC,7,Supplier,INDUSTRIAS QUIMICAS DEL ISTMO,MEXICO,ESPECIALIDADES,MEXICO,SOSA CAUSTICA EN ECOMAS,auExpSpecCode,,,
RFJOAX_FDC,7,Supplier,INDUSTRIAS QUIMICAS DEL ISTMO,MEXICO,ESPECIALIDADES,MEXICO,SOSA CAUSTICA EN ECOMAS,auSpecType,,,Supplier Reinforcement
RFJOAX_FDC,7,Supplier,INDUSTRIAS QUIMICAS DEL ISTMO,MEXICO,ESPECIALIDADES,MEXICO,SOSA CAUSTICA EN ECOMAS,CodeMaskPrefix,,,RF
RFQC32PF,1,Supplier,HYOSUNG CORPORATION,LISA,,,QC32PF,auExpSpecCode,,,
RFQC32PF,1,Supplier,HYOSUNG CORPORATION,LISA,,,QC32PF,auSpecType,,,Supplier Reinforcement
RFQC32PF,1,Supplier,HYOSUNG CORPORATION,LISA,,,QC32PF,CodeMaskPrefix,,,RF
RFFP,1,Supplier,PIRELLI,FIGLINE,,,P101FP,auExpSpecCode,,,
RFFP,1,Supplier,PIRELLI,FIGLINE,,,P101FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,PIRELLI,FIGLINE,,,P101FP,CodeMaskPrefix,,,RF
RFQU26PF,1,Supplier,HYOSUNG CORPORATION,LISA,,,QU26PF,auExpSpecCode,,,
RFQU26PF,1,Supplier,HYOSUNG CORPORATION,LISA,,,QU26PF,auSpecType,,,Supplier Reinforcement
RFQU26PF,1,Supplier,HYOSUNG CORPORATION,LISA,,,QU26PF,CodeMaskPrefix,,,RF
RFQV28,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,auExpSpecCode,,,
RFQV28,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,auSpecType,,,Supplier Reinforcement
RFQV28,1,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,CodeMaskPrefix,,,RF
RFCH,1,Supplier,NAT STAN,UITENHAGE,,,145CH,auExpSpecCode,,,
RFCH,1,Supplier,NAT STAN,UITENHAGE,,,145CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,NAT STAN,UITENHAGE,,,145CH,CodeMaskPrefix,,,RF
RFQV28,1,Supplier,KORDSA,CAMACARI,,,QV28,auExpSpecCode,,,
RFQV28,1,Supplier,KORDSA,CAMACARI,,,QV28,auSpecType,,,Supplier Reinforcement
RFQV28,1,Supplier,KORDSA,CAMACARI,,,QV28,CodeMaskPrefix,,,RF
RFC17GAZ,1,Supplier,NGF,GUELPH - ON,,,C17GAZ,auExpSpecCode,,,
RFC17GAZ,1,Supplier,NGF,GUELPH - ON,,,C17GAZ,auSpecType,,,Supplier Reinforcement
RFC17GAZ,1,Supplier,NGF,GUELPH - ON,,,C17GAZ,CodeMaskPrefix,,,RF
RFFP,1,Supplier,BEKAERT,AALTER,,,B101FP,auExpSpecCode,,,
RFFP,1,Supplier,BEKAERT,AALTER,,,B101FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,BEKAERT,AALTER,,,B101FP,CodeMaskPrefix,,,RF
RFQV28,1,Supplier,HYOSUNG CORPORATION,ULSAN,,,QV28,auExpSpecCode,,,
RFQV28,1,Supplier,HYOSUNG CORPORATION,ULSAN,,,QV28,auSpecType,,,Supplier Reinforcement
RFQV28,1,Supplier,HYOSUNG CORPORATION,ULSAN,,,QV28,CodeMaskPrefix,,,RF
RF40HK2B,1,Supplier,OTTO KUHLMANN,HEMER GERMANY,,,RF40HK2B,auExpSpecCode,,,
RF40HK2B,1,Supplier,OTTO KUHLMANN,HEMER GERMANY,,,RF40HK2B,auSpecType,,,Supplier Reinforcement
RF40HK2B,1,Supplier,OTTO KUHLMANN,HEMER GERMANY,,,RF40HK2B,CodeMaskPrefix,,,RF
RFNJ27JF,1,Supplier,HYOSUNG CORPORATION,AMERICANA,,,NJ27JF,auExpSpecCode,,,
RFNJ27JF,1,Supplier,HYOSUNG CORPORATION,AMERICANA,,,NJ27JF,auSpecType,,,Supplier Reinforcement
RFNJ27JF,1,Supplier,HYOSUNG CORPORATION,AMERICANA,,,NJ27JF,CodeMaskPrefix,,,RF
RFNT30UA,1,Supplier,HYOSUNG CORPORATION,LISA,,,NT30UA,auExpSpecCode,,,
RFNT30UA,1,Supplier,HYOSUNG CORPORATION,LISA,,,NT30UA,auSpecType,,,Supplier Reinforcement
RFNT30UA,1,Supplier,HYOSUNG CORPORATION,LISA,,,NT30UA,CodeMaskPrefix,,,RF
RFLV19JA,1,Supplier,HYOSUNG CORPORATION,AMERICANA,,,LV19JA,auExpSpecCode,,,
RFLV19JA,1,Supplier,HYOSUNG CORPORATION,AMERICANA,,,LV19JA,auSpecType,,,Supplier Reinforcement
RFLV19JA,1,Supplier,HYOSUNG CORPORATION,AMERICANA,,,LV19JA,CodeMaskPrefix,,,RF
RFNC16KR,1,Supplier,HYOSUNG CORPORATION,UTICA,,,NC16KR,auExpSpecCode,,,
RFNC16KR,1,Supplier,HYOSUNG CORPORATION,UTICA,,,NC16KR,auSpecType,,,Supplier Reinforcement
RFNC16KR,1,Supplier,HYOSUNG CORPORATION,UTICA,,,NC16KR,CodeMaskPrefix,,,RF
RF9496,1,Supplier,FRONTIER SPINNING MILLS,SANDFORD,,,FILL,auExpSpecCode,,,
RF9496,1,Supplier,FRONTIER SPINNING MILLS,SANDFORD,,,FILL,auSpecType,,,Supplier Reinforcement
RF9496,1,Supplier,FRONTIER SPINNING MILLS,SANDFORD,,,FILL,CodeMaskPrefix,,,RF
RFFP,1,Supplier,HYOSUNG CORPORATION,ASHEBORO,,,C201FP,auExpSpecCode,,,
RFFP,1,Supplier,HYOSUNG CORPORATION,ASHEBORO,,,C201FP,auSpecType,,,Supplier Reinforcement
RFFP,1,Supplier,HYOSUNG CORPORATION,ASHEBORO,,,C201FP,CodeMaskPrefix,,,RF
RFB05L,1,Supplier,KORDSA,BA,,,400-5,auExpSpecCode,,,
RFB05L,1,Supplier,KORDSA,BA,,,400-5,auSpecType,,,Supplier Reinforcement
RFB05L,1,Supplier,KORDSA,BA,,,400-5,CodeMaskPrefix,,,RF
RFLH23MA,1,Supplier,SRF,MANALI,,,LH23MA,auExpSpecCode,,,
RFLH23MA,1,Supplier,SRF,MANALI,,,LH23MA,auSpecType,,,Supplier Reinforcement
RFLH23MA,1,Supplier,SRF,MANALI,,,LH23MA,CodeMaskPrefix,,,RF
RFJ35ZS,1,Supplier,NGF,GUELPH - ON,,,G30-500,auExpSpecCode,,,
RFJ35ZS,1,Supplier,NGF,GUELPH - ON,,,G30-500,auSpecType,,,Supplier Reinforcement
RFJ35ZS,1,Supplier,NGF,GUELPH - ON,,,G30-500,CodeMaskPrefix,,,RF
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,auExpSpecCode,,,
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,auSpecType,,,Supplier Reinforcement
RFP01L,1,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BEKAERT,CLARKSDALE,,,041CH,auExpSpecCode,,,
RFCH,1,Supplier,BEKAERT,CLARKSDALE,,,041CH,auSpecType,,,Supplier Reinforcement
RFCH,1,Supplier,BEKAERT,CLARKSDALE,,,041CH,CodeMaskPrefix,,,RF
RFCH,1,Supplier,BMZ,MICORD,,,311CH,auExpSpecCode,,,
