SP_VALUE,SP_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,IC_CAPTION,IC_ORDER,II_CAPTION,IE_SHORT_DESC,IE_VERSION,II_ORDER,FILE_NAME
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_00_Program Initiation.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_01_Reinforcement Material Info.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_02_Lab Evaluation.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_03_Fabric Experimental Number Panel.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_04_Global Product Stewardship.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_05_SQA.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_06_Prepare Plant Order.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_07_Plant Trial.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_08_Production Code.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_09_Paper Work.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_10_SOS Reinforcment.html
RFGYD2805,1,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,MIS Migrated Data,,Documents,docDocuments,,,NM_004062_Dashboard.html
RF0040253,1,Supplier,BEKAERT,IZMIT,,,UNSPECIFIED,MIS Migrated Data,,Documents,docDocuments,,,NS_004401_00_Program Initiation.html
RF0040253,1,Supplier,BEKAERT,IZMIT,,,UNSPECIFIED,MIS Migrated Data,,Documents,docDocuments,,,NS_004401_Dashboard.html
RFGL2060,1,Supplier,KERN,TRINEC - KONSKA,KERN,TRINEC - KONSKA,GL2060,MIS Migrated Data,,Documents,docDocuments,,,NS_007503_00_Program Initiation.html
RFGL2060,1,Supplier,KERN,TRINEC - KONSKA,KERN,TRINEC - KONSKA,GL2060,MIS Migrated Data,,Documents,docDocuments,,,NS_007503_Dashboard.html
RF0040652,1,Supplier,BEKAERT,VESPASIANO,,,B701FP,MIS Migrated Data,,Documents,docDocuments,,,NS_009311_00_Program Initiation.html
RF0040652,1,Supplier,BEKAERT,VESPASIANO,,,B701FP,MIS Migrated Data,,Documents,docDocuments,,,NS_009311_Dashboard.html
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,MIS Migrated Data,,Documents,docDocuments,,,NS_013054_00_Program Initiation.html
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,MIS Migrated Data,,Documents,docDocuments,,,NS_013054_01_Reinforcement Material Info.html
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,MIS Migrated Data,,Documents,docDocuments,,,NS_013054_02_Lab Evaluation.html
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,MIS Migrated Data,,Documents,docDocuments,,,NS_013054_03_GPS Regulatory Approval.html
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,MIS Migrated Data,,Documents,docDocuments,,,NS_013054_04_SQA.html
RFS00047,1,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,MIS Migrated Data,,Documents,docDocuments,,,NS_013054_Dashboard.html
