SP_VALUE,SP_VERSION,FR_SHORT_DESC,FR_VERSION,CONTEXT,SP_KEY1,SP_KEY2,SP_KEY3,SP_KEY4,SP_KEY5,STYPE_VALUE,CREATED_BY,LC_DESC,LC_VERSION,SS_DESC,CREATED_ON,EFFECTIVE_FROM,EFFECTIVE_TILL,HAS_ADHOC_APPROVAL
RFFP,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,ASHEBORO,,,C201FP,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFB05L,1,SupplierReinforcement,,Supplier,KORDSA,BA,,,400-5,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFLH23MA,1,SupplierReinforcement,,Supplier,SRF,MANALI,,,LH23MA,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFJ35ZS,1,SupplierReinforcement,,Supplier,NGF,GUELPH - ON,,,G30-500,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFP01L,1,SupplierReinforcement,,Supplier,GRODNO KHIMVOLOKNO,GRODNO,,,POLYAMIDE STABILIZED,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,CLARKSDALE,,,041CH,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BMZ,MICORD,,,311CH,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,EMCOCABLES,BOGOTA,,,051CH,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,GUSTAV WOLF,GUTERSLOH,,,071CH,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,BEKAERT,AALTER,,,021CH,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,SCAW METALS,JOHANNESBURG,,,271CH,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,CELIK HALAT,IZMIT,,,031CH,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFF07Q,1,SupplierReinforcement,,Supplier,INDORAMA VENTURES MOBILITY (Performance ,"LONGLAVILLE,   FRANCE ",,,1x53,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFKC15JR,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DECATUR,,,KC15JR,SRF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFFP,1,SupplierReinforcement,,Supplier,TREFILARBED,CHANGWON,,,F501FP,SRF,EventManager,New Source Lifecycle,,IA,2025-02-18,,,
RFFP,1,SupplierReinforcement,,Supplier,BEKAERT,SHENYANG BSSC,,,BL01FP,SRF,EventManager,New Source Lifecycle,,IA,2025-02-18,,,
RFCH,1,SupplierReinforcement,,Supplier,JIANGSU XINGDA,XING HUA,,,401CH,SRF,EventManager,New Source Lifecycle,,IA,2025-02-18,,,
RFN00001,1,ReinforcementFabric,,,,,,,,RF,EventManager,Goodyear LC for Material Specifications,,IA,2025-02-18,,,
RFN00001,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,UTICA,,,NF30MA,SRF,EventManager,Goodyear LC for Material Specifications,,@C,2025-02-18,,,
RFS00004,1,SupplierReinforcement,,Supplier,BEKAERT,IZMIT,,,BA01FP,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0040084,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DONG NAI,,,QV28,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RFGYD2805,1,SupplierReinforcement,,Supplier,INDORAMA VENTURES MOBILITY,LONGLAVILLE,,,1440 dtex 1X53 N200/N141,SRF,EventManager,Goodyear LC for Material Specifications,,@C,2025-02-18,,,
RF0040253,1,SupplierReinforcement,,Supplier,BEKAERT,IZMIT,,,UNSPECIFIED,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RFGL2060,1,SupplierReinforcement,,Supplier,KERN,TRINEC - KONSKA,KERN,TRINEC - KONSKA,GL2060,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0040652,1,SupplierReinforcement,,Supplier,BEKAERT,VESPASIANO,,,B701FP,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RFS00047,1,SupplierReinforcement,,Supplier,KISWIRE,"Rongcheng, China",,,F901FP,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0041582,1,SupplierReinforcement,,Supplier,BEKAERT,IZMIT,,,BA01FP,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0041590,1,SupplierReinforcement,,Supplier,BEKAERT,SHENYANG BSSC,,,,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0041619,1,SupplierReinforcement,,Supplier,KISWIRE,QINGDAO,,,246CH,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0041817,1,SupplierReinforcement,,Supplier,TRAFILERIE MERIDIONALI,CHIETI SCALO,,,201CH,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0041826,1,SupplierReinforcement,,Supplier,JIAXING EASTERN,,,,,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0043059,1,SupplierReinforcement,,Supplier,CELIK HALAT,IZMIT,,,031CH,SRF,EventManager,New Source Lifecycle,,In Development,2025-02-18,,,
RFS00090,1,SupplierReinforcement,,Supplier,JIAXING EASTERN,ZHEJIANG,,,Y101FP,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0044389,1,SupplierReinforcement,,Supplier,HYOSUNG CORPORATION,DECATUR,,,,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0045664,1,SupplierReinforcement,,Supplier,BMZ,MICORD,,,,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RF0046962,1,SupplierReinforcement,,Supplier,INDORAMA VENTURES MOBILITY,LUXEMBOURG,,,,SRF,EventManager,New Source Lifecycle,,@C,2025-02-18,,,
RFW00044,1,SupplierReinforcement,,Supplier,KISWIRE,YANGSAN,,,241CH,SRF,EventManager,New Source Lifecycle,,Limited Approved NS,2025-02-18,,,
